embedding_index,start_time,end_time,speaker
0,0.0,0.08,SPEAKER_00
1,0.08,0.16,SPEAKER_00
2,0.16,0.24,SPEAKER_00
3,0.24,0.32,SPEAKER_00
4,0.32,0.4,SPEAKER_01
5,0.4,0.48000000000000004,SPEAKER_01
6,0.48,0.5599999999999999,SPEAKER_01
7,0.56,0.64,SPEAKER_01
8,0.64,0.72,SPEAKER_01
9,0.72,0.7999999999999999,SPEAKER_01
10,0.8,0.88,SPEAKER_01
11,0.88,0.96,SPEAKER_01
12,0.96,1.04,SPEAKER_01
13,1.04,1.12,SPEAKER_01
14,1.12,1.2000000000000002,SPEAKER_01
15,1.2,1.28,SPEAKER_01
16,1.28,1.36,SPEAKER_01
17,1.36,1.4400000000000002,SPEAKER_01
18,1.44,1.52,SPEAKER_01
19,1.52,1.6,SPEAKER_01
20,1.6,1.6800000000000002,SPEAKER_01
21,1.68,1.76,SPEAKER_01
22,1.76,1.84,SPEAKER_01
23,1.84,1.9200000000000002,SPEAKER_01
24,1.92,2.0,SPEAKER_01
25,2.0,2.08,SPEAKER_01
26,2.08,2.16,SPEAKER_01
27,2.16,2.24,SPEAKER_01
28,2.24,2.3200000000000003,SPEAKER_01
29,2.32,2.4,SPEAKER_01
30,2.4,2.48,SPEAKER_01
31,2.48,2.56,SPEAKER_01
32,2.56,2.64,SPEAKER_01
33,2.64,2.72,SPEAKER_01
34,2.72,2.8000000000000003,SPEAKER_01
35,2.8,2.88,SPEAKER_01
36,2.88,2.96,SPEAKER_01
37,2.96,3.04,SPEAKER_01
38,3.04,3.12,SPEAKER_01
39,3.12,3.2,SPEAKER_01
40,3.2,3.2800000000000002,SPEAKER_01
41,3.28,3.36,SPEAKER_01
42,3.36,3.44,SPEAKER_01
43,3.44,3.52,SPEAKER_01
44,3.52,3.6,SPEAKER_01
45,3.6,3.68,SPEAKER_01
46,3.68,3.7600000000000002,SPEAKER_01
47,3.76,3.84,SPEAKER_01
48,3.84,3.92,SPEAKER_01
49,3.92,4.0,SPEAKER_01
50,4.0,4.08,SPEAKER_01
51,4.08,4.16,SPEAKER_01
52,4.16,4.24,SPEAKER_01
53,4.24,4.32,SPEAKER_01
54,4.32,4.4,SPEAKER_01
55,4.4,4.48,SPEAKER_01
56,4.48,4.5600000000000005,SPEAKER_01
57,4.56,4.64,SPEAKER_01
58,4.64,4.72,SPEAKER_01
59,4.72,4.8,SPEAKER_01
60,4.8,4.88,SPEAKER_01
61,4.88,4.96,SPEAKER_01
62,4.96,5.04,SPEAKER_01
63,5.04,5.12,SPEAKER_01
64,5.12,5.2,SPEAKER_01
65,5.2,5.28,SPEAKER_01
66,5.28,5.36,SPEAKER_01
67,5.36,5.44,SPEAKER_01
68,5.44,5.5200000000000005,SPEAKER_01
69,5.52,5.6,SPEAKER_01
70,5.6,5.68,SPEAKER_01
71,5.68,5.76,SPEAKER_01
72,5.76,5.84,SPEAKER_01
73,5.84,5.92,SPEAKER_01
74,5.92,6.0,SPEAKER_01
75,6.0,6.08,SPEAKER_01
76,6.08,6.16,SPEAKER_01
77,6.16,6.24,SPEAKER_01
78,6.24,6.32,SPEAKER_01
79,6.32,6.4,SPEAKER_01
80,6.4,6.48,SPEAKER_01
81,6.48,6.5600000000000005,SPEAKER_01
82,6.56,6.64,SPEAKER_01
83,6.64,6.72,SPEAKER_01
84,6.72,6.8,SPEAKER_01
85,6.8,6.88,SPEAKER_01
86,6.88,6.96,SPEAKER_01
87,6.96,7.04,SPEAKER_01
88,7.04,7.12,SPEAKER_01
89,7.12,7.2,SPEAKER_01
90,7.2,7.28,SPEAKER_01
91,7.28,7.36,SPEAKER_01
92,7.36,7.44,SPEAKER_01
93,7.44,7.5200000000000005,SPEAKER_01
94,7.52,7.6,SPEAKER_01
95,7.6,7.68,SPEAKER_01
96,7.68,7.76,SPEAKER_01
97,7.76,7.84,SPEAKER_01
98,7.84,7.92,SPEAKER_01
99,7.92,8.0,SPEAKER_01
100,8.0,8.08,SPEAKER_01
101,8.08,8.16,SPEAKER_01
102,8.16,8.24,SPEAKER_01
103,8.24,8.32,SPEAKER_01
104,8.32,8.4,SPEAKER_01
105,8.4,8.48,SPEAKER_01
106,8.48,8.56,SPEAKER_01
107,8.56,8.64,SPEAKER_01
108,8.64,8.72,SPEAKER_01
109,8.72,8.8,SPEAKER_01
110,8.8,8.88,SPEAKER_01
111,8.88,8.96,SPEAKER_01
112,8.96,9.040000000000001,SPEAKER_01
113,9.04,9.12,SPEAKER_01
114,9.12,9.2,SPEAKER_01
115,9.2,9.28,SPEAKER_01
116,9.28,9.36,SPEAKER_01
117,9.36,9.44,SPEAKER_01
118,9.44,9.52,SPEAKER_01
119,9.52,9.6,SPEAKER_01
120,9.6,9.68,SPEAKER_01
121,9.68,9.76,SPEAKER_01
122,9.76,9.84,SPEAKER_01
123,9.84,9.92,SPEAKER_01
124,9.92,10.0,SPEAKER_01
125,10.0,10.08,SPEAKER_01
126,10.08,10.16,SPEAKER_01
127,10.16,10.24,SPEAKER_01
128,10.24,10.32,SPEAKER_01
129,10.32,10.4,SPEAKER_01
130,10.4,10.48,SPEAKER_01
131,10.48,10.56,SPEAKER_01
132,10.56,10.64,SPEAKER_01
133,10.64,10.72,SPEAKER_01
134,10.72,10.8,SPEAKER_01
135,10.8,10.88,SPEAKER_01
136,10.88,10.96,SPEAKER_01
137,10.96,11.040000000000001,SPEAKER_01
138,11.04,11.12,SPEAKER_01
139,11.12,11.2,SPEAKER_01
140,11.2,11.28,SPEAKER_01
141,11.28,11.36,SPEAKER_01
142,11.36,11.44,SPEAKER_01
143,11.44,11.52,SPEAKER_01
144,11.52,11.6,SPEAKER_01
145,11.6,11.68,SPEAKER_01
146,11.68,11.76,SPEAKER_01
147,11.76,11.84,SPEAKER_01
148,11.84,11.92,SPEAKER_01
149,11.92,12.0,SPEAKER_01
150,12.0,12.08,SPEAKER_01
151,12.08,12.16,SPEAKER_01
152,12.16,12.24,SPEAKER_01
153,12.24,12.32,SPEAKER_01
154,12.32,12.4,SPEAKER_01
155,12.4,12.48,SPEAKER_01
156,12.48,12.56,SPEAKER_01
157,12.56,12.64,SPEAKER_01
158,12.64,12.72,SPEAKER_01
159,12.72,12.8,SPEAKER_01
160,12.8,12.88,SPEAKER_01
161,12.88,12.96,SPEAKER_01
162,12.96,13.040000000000001,SPEAKER_01
163,13.04,13.12,SPEAKER_01
164,13.12,13.2,SPEAKER_01
165,13.2,13.28,SPEAKER_01
166,13.28,13.36,SPEAKER_01
167,13.36,13.44,SPEAKER_01
168,13.44,13.52,SPEAKER_01
169,13.52,13.6,SPEAKER_01
170,13.6,13.68,SPEAKER_01
171,13.68,13.76,SPEAKER_01
172,13.76,13.84,SPEAKER_01
173,13.84,13.92,SPEAKER_01
174,13.92,14.0,SPEAKER_01
175,14.0,14.08,SPEAKER_01
176,14.08,14.16,SPEAKER_01
177,14.16,14.24,SPEAKER_01
178,14.24,14.32,SPEAKER_01
179,14.32,14.4,SPEAKER_01
180,14.4,14.48,SPEAKER_01
181,14.48,14.56,SPEAKER_01
182,14.56,14.64,SPEAKER_01
183,14.64,14.72,SPEAKER_01
184,14.72,14.8,SPEAKER_01
185,14.8,14.88,SPEAKER_01
186,14.88,14.96,SPEAKER_01
187,14.96,15.040000000000001,SPEAKER_01
188,15.04,15.12,SPEAKER_01
189,15.12,15.2,SPEAKER_01
190,15.2,15.28,SPEAKER_01
191,15.28,15.36,SPEAKER_01
192,15.36,15.44,SPEAKER_01
193,15.44,15.52,SPEAKER_01
194,15.52,15.6,SPEAKER_01
195,15.6,15.68,SPEAKER_01
196,15.68,15.76,SPEAKER_01
197,15.76,15.84,SPEAKER_01
198,15.84,15.92,SPEAKER_01
199,15.92,16.0,SPEAKER_00
200,16.0,16.08,SPEAKER_01
201,16.08,16.159999999999997,SPEAKER_01
202,16.16,16.24,SPEAKER_00
203,16.24,16.319999999999997,SPEAKER_01
204,16.32,16.4,SPEAKER_01
205,16.4,16.479999999999997,SPEAKER_01
206,16.48,16.56,SPEAKER_01
207,16.56,16.639999999999997,SPEAKER_01
208,16.64,16.72,SPEAKER_01
209,16.72,16.799999999999997,SPEAKER_01
210,16.8,16.88,SPEAKER_01
211,16.88,16.959999999999997,SPEAKER_01
212,16.96,17.04,SPEAKER_01
213,17.04,17.119999999999997,SPEAKER_01
214,17.12,17.2,SPEAKER_01
215,17.2,17.279999999999998,SPEAKER_01
216,17.28,17.36,SPEAKER_01
217,17.36,17.439999999999998,SPEAKER_01
218,17.44,17.52,SPEAKER_01
219,17.52,17.599999999999998,SPEAKER_01
220,17.6,17.68,SPEAKER_01
221,17.68,17.759999999999998,SPEAKER_01
222,17.76,17.84,SPEAKER_01
223,17.84,17.919999999999998,SPEAKER_01
224,17.92,18.0,SPEAKER_01
225,18.0,18.08,SPEAKER_01
226,18.08,18.159999999999997,SPEAKER_01
227,18.16,18.24,SPEAKER_01
228,18.24,18.319999999999997,SPEAKER_01
229,18.32,18.4,SPEAKER_01
230,18.4,18.479999999999997,SPEAKER_01
231,18.48,18.56,SPEAKER_01
232,18.56,18.639999999999997,SPEAKER_01
233,18.64,18.72,SPEAKER_01
234,18.72,18.799999999999997,SPEAKER_01
235,18.8,18.88,SPEAKER_01
236,18.88,18.959999999999997,SPEAKER_01
237,18.96,19.04,SPEAKER_01
238,19.04,19.119999999999997,SPEAKER_01
239,19.12,19.2,SPEAKER_01
240,19.2,19.279999999999998,SPEAKER_01
241,19.28,19.36,SPEAKER_01
242,19.36,19.439999999999998,SPEAKER_01
243,19.44,19.52,SPEAKER_01
244,19.52,19.599999999999998,SPEAKER_01
245,19.6,19.68,SPEAKER_01
246,19.68,19.759999999999998,SPEAKER_01
247,19.76,19.84,SPEAKER_01
248,19.84,19.919999999999998,SPEAKER_01
249,19.92,20.0,SPEAKER_01
250,20.0,20.08,SPEAKER_01
251,20.08,20.159999999999997,SPEAKER_01
252,20.16,20.24,SPEAKER_01
253,20.24,20.319999999999997,SPEAKER_01
254,20.32,20.4,SPEAKER_01
255,20.4,20.479999999999997,SPEAKER_01
256,20.48,20.56,SPEAKER_01
257,20.56,20.639999999999997,SPEAKER_01
258,20.64,20.72,SPEAKER_01
259,20.72,20.799999999999997,SPEAKER_01
260,20.8,20.88,SPEAKER_01
261,20.88,20.959999999999997,SPEAKER_01
262,20.96,21.04,SPEAKER_01
263,21.04,21.119999999999997,SPEAKER_01
264,21.12,21.2,SPEAKER_01
265,21.2,21.279999999999998,SPEAKER_01
266,21.28,21.36,SPEAKER_01
267,21.36,21.439999999999998,SPEAKER_01
268,21.44,21.52,SPEAKER_01
269,21.52,21.599999999999998,SPEAKER_01
270,21.6,21.68,SPEAKER_01
271,21.68,21.759999999999998,SPEAKER_01
272,21.76,21.84,SPEAKER_01
273,21.84,21.919999999999998,SPEAKER_01
274,21.92,22.0,SPEAKER_01
275,22.0,22.08,SPEAKER_01
276,22.08,22.159999999999997,SPEAKER_01
277,22.16,22.24,SPEAKER_01
278,22.24,22.319999999999997,SPEAKER_01
279,22.32,22.4,SPEAKER_01
280,22.4,22.479999999999997,SPEAKER_01
281,22.48,22.56,SPEAKER_01
282,22.56,22.639999999999997,SPEAKER_01
283,22.64,22.72,SPEAKER_01
284,22.72,22.799999999999997,SPEAKER_01
285,22.8,22.88,SPEAKER_01
286,22.88,22.959999999999997,SPEAKER_01
287,22.96,23.04,SPEAKER_01
288,23.04,23.119999999999997,SPEAKER_01
289,23.12,23.2,SPEAKER_01
290,23.2,23.279999999999998,SPEAKER_01
291,23.28,23.36,SPEAKER_01
