start_time,end_time,speaker
0.32,5.52,speaker_0
5.92,9.12,speaker_0
9.44,11.2,speaker_0
11.44,15.84,speaker_0
16.32,19.92,speaker_0
20.0,23.28,speaker_0
23.6,25.2,speaker_0
25.44,27.6,speaker_0
27.76,29.76,speaker_0
29.84,35.04,speaker_0
36.96,39.84,speaker_1
40.24,43.52,speaker_1
44.16,46.8,speaker_1
46.88,49.28,speaker_1
49.84,51.28,speaker_1
51.84,54.88,speaker_1
55.28,57.52,speaker_1
57.84,64.08,speaker_1
64.4,65.52,speaker_1
65.76,67.6,speaker_1
68.0,69.92,speaker_1
70.16,72.56,speaker_1
72.88,75.76,speaker_1
76.16,78.24,speaker_1
78.4,79.84,speaker_1
80.08,82.0,speaker_1
82.56,86.4,speaker_0
86.96,87.92,speaker_0
87.04,87.12,speaker_1
88.24,90.48,speaker_0
92.72,93.04,speaker_1
93.44,98.08,speaker_1
98.24,98.88,speaker_1
99.36,101.68,speaker_1
102.08,105.2,speaker_1
105.92,107.44,speaker_1
107.6,110.8,speaker_1
111.04,113.28,speaker_1
113.6,116.64,speaker_1
117.12,119.84,speaker_1
120.16,123.84,speaker_1
124.24,127.6,speaker_1
127.92,132.32,speaker_1
132.56,135.92,speaker_1
136.4,138.8,speaker_1
139.12,140.8,speaker_1
141.2,144.32,speaker_1
144.8,147.44,speaker_1
147.92,150.56,speaker_1
151.12,154.72,speaker_1
155.12,157.52,speaker_1
158.0,160.72,speaker_1
161.12,162.0,speaker_1
161.84,162.0,speaker_0
162.4,165.28,speaker_1
165.36,167.36,speaker_1
168.08,169.44,speaker_0
169.52,174.32,speaker_0
174.48,176.16,speaker_0
176.72,178.16,speaker_0
178.24,185.76,speaker_0
188.0,192.96,speaker_1
193.6,197.6,speaker_1
198.32,199.68,speaker_1
200.32,204.24,speaker_1
204.88,206.0,speaker_1
206.24,208.4,speaker_1
208.8,210.72,speaker_1
210.64,210.8,speaker_2
211.6,213.04,speaker_0
215.84,218.16,speaker_1
218.56,222.16,speaker_1
222.8,230.88,speaker_1
