start_time,end_time,speaker
0.8,6.32,SPEAKER_00
7.36,9.76,SPEAKER_00
10.56,12.64,SPEAKER_00
14.8,15.36,SPEAKER_00
15.52,16.4,SPEAKER_00
24.4,26.32,SPEAKER_01
26.48,28.08,SPEAKER_01
28.48,31.84,SPEAKER_00
33.04,39.2,SPEAKER_00
39.92,40.0,SPEAKER_00
40.08,46.0,SPEAKER_00
46.16,46.64,SPEAKER_00
46.88,47.6,SPEAKER_00
47.84,50.96,SPEAKER_00
51.84,55.52,SPEAKER_00
56.56,56.96,SPEAKER_01
57.44,58.08,SPEAKER_00
59.12,62.32,SPEAKER_00
62.48,62.96,SPEAKER_01
63.2,63.6,SPEAKER_00
64.0,66.88,SPEAKER_01
68.24,71.84,SPEAKER_01
71.36,71.92,SPEAKER_00
73.2,74.0,SPEAKER_00
74.16,78.56,SPEAKER_00
79.44,80.0,SPEAKER_01
79.6,80.0,SPEAKER_00
80.8,81.36,SPEAKER_00
81.52,84.24,SPEAKER_01
86.16,86.88,SPEAKER_01
87.36,87.52,SPEAKER_00
87.44,88.4,SPEAKER_01
88.8,89.12,SPEAKER_01
89.44,91.04,SPEAKER_00
90.08,90.24,SPEAKER_01
92.08,94.16,SPEAKER_00
94.64,95.04,SPEAKER_01
95.28,96.24,SPEAKER_00
97.28,98.8,SPEAKER_00
98.88,99.36,SPEAKER_01
99.44,99.76,SPEAKER_00
100.32,102.96,SPEAKER_00
101.92,102.56,SPEAKER_01
103.84,107.12,SPEAKER_01
107.6,108.08,SPEAKER_00
107.68,109.44,SPEAKER_01
109.76,111.84,SPEAKER_00
112.64,114.72,SPEAKER_00
114.72,115.2,SPEAKER_01
116.32,117.6,SPEAKER_01
118.16,120.0,SPEAKER_01
120.56,124.16,SPEAKER_01
124.72,125.84,SPEAKER_01
125.92,127.28,SPEAKER_01
126.16,126.4,SPEAKER_00
127.68,129.76,SPEAKER_00
129.68,131.84,SPEAKER_01
132.8,133.36,SPEAKER_01
133.6,135.6,SPEAKER_01
135.52,137.44,SPEAKER_00
137.6,138.4,SPEAKER_01
138.64,142.24,SPEAKER_01
143.28,144.8,SPEAKER_01
145.44,148.32,SPEAKER_01
146.72,146.96,SPEAKER_00
147.92,148.48,SPEAKER_00
148.56,149.44,SPEAKER_00
150.0,152.56,SPEAKER_00
153.12,153.76,SPEAKER_00
169.36,169.92,SPEAKER_01
172.4,173.6,SPEAKER_01
176.64,178.0,SPEAKER_01
181.84,183.36,SPEAKER_01
187.12,188.56,SPEAKER_01
191.44,191.52,SPEAKER_01
191.6,193.44,SPEAKER_01
193.68,196.08,SPEAKER_01
197.12,199.76,SPEAKER_01
202.4,203.44,SPEAKER_01
204.08,205.6,SPEAKER_01
208.08,209.76,SPEAKER_01
211.36,212.8,SPEAKER_01
213.84,215.28,SPEAKER_01
217.92,219.2,SPEAKER_01
220.08,221.04,SPEAKER_01
222.4,222.72,SPEAKER_01
232.0,232.32,SPEAKER_01
232.8,233.2,SPEAKER_01
233.76,234.16,SPEAKER_01
239.6,240.0,SPEAKER_01
242.16,243.92,SPEAKER_01
247.2,249.44,SPEAKER_01
253.12,258.32,SPEAKER_01
261.6,262.08,SPEAKER_01
264.24,265.28,SPEAKER_01
266.32,268.08,SPEAKER_01
275.36,276.24,SPEAKER_01
276.56,277.04,SPEAKER_01
279.76,281.92,SPEAKER_01
283.68,284.32,SPEAKER_01
285.6,287.2,SPEAKER_01
289.04,290.24,SPEAKER_01
291.12,293.12,SPEAKER_01
295.68,297.04,SPEAKER_01
297.68,298.0,SPEAKER_01
298.88,300.07,SPEAKER_01
300.0,300.72,SPEAKER_00
300.72,302.72,SPEAKER_01
303.52,303.92,SPEAKER_00
305.12,305.68,SPEAKER_01
306.16,307.2,SPEAKER_01
310.88,314.24,SPEAKER_01
314.32,316.4,SPEAKER_01
317.52,319.76,SPEAKER_01
318.0,318.08,SPEAKER_00
318.48,318.64,SPEAKER_00
320.56,322.64,SPEAKER_01
324.88,325.36,SPEAKER_01
325.6,326.48,SPEAKER_01
327.68,328.96,SPEAKER_01
330.08,330.8,SPEAKER_01
332.56,333.28,SPEAKER_01
334.8,335.28,SPEAKER_01
337.44,337.84000000000003,SPEAKER_01
338.24,338.72,SPEAKER_01
340.56,341.68,SPEAKER_01
340.64,340.88,SPEAKER_00
342.72,344.0,SPEAKER_01
344.96,346.0,SPEAKER_01
354.56,355.36,SPEAKER_01
355.84000000000003,357.6,SPEAKER_01
357.68,358.24,SPEAKER_01
359.44,360.08,SPEAKER_00
371.84000000000003,373.68,SPEAKER_01
374.48,377.28,SPEAKER_01
378.4,387.52,SPEAKER_01
380.96,381.76,SPEAKER_00
387.92,388.0,SPEAKER_01
388.15999999999997,389.04,SPEAKER_01
393.04,395.04,SPEAKER_01
395.68,396.32,SPEAKER_01
396.4,398.0,SPEAKER_01
399.2,400.64,SPEAKER_01
401.76,402.24,SPEAKER_01
405.68,407.6,SPEAKER_00
408.48,410.48,SPEAKER_00
409.12,409.68,SPEAKER_01
410.08,414.8,SPEAKER_01
417.44,419.12,SPEAKER_01
421.52,424.56,SPEAKER_01
425.12,425.92,SPEAKER_01
428.32,429.03999999999996,SPEAKER_01
429.36,430.64,SPEAKER_01
435.52,436.56,SPEAKER_01
436.88,437.44,SPEAKER_01
438.96000000000004,439.44,SPEAKER_01
442.72,443.44,SPEAKER_01
446.88,449.91999999999996,SPEAKER_01
451.52,453.68,SPEAKER_01
454.4,456.88,SPEAKER_01
458.4,460.24,SPEAKER_01
460.64,464.64,SPEAKER_01
465.76,467.52,SPEAKER_01
468.24,471.12,SPEAKER_01
472.24,474.32,SPEAKER_01
475.12,475.68,SPEAKER_01
478.96000000000004,479.91999999999996,SPEAKER_01
481.03999999999996,482.48,SPEAKER_01
483.44,484.15999999999997,SPEAKER_01
486.32,487.12,SPEAKER_01
487.76,488.48,SPEAKER_01
490.32,491.36,SPEAKER_01
492.56,493.03999999999996,SPEAKER_01
494.72,495.52,SPEAKER_01
497.44,498.56,SPEAKER_01
