start_time,end_time,speaker
0.16,2.56,SPEAKER_00
3.28,5.36,SPEAKER_00
10.24,11.2,SPEAKER_01
12.4,14.08,SPEAKER_01
27.2,30.16,SPEAKER_01
32.0,32.32,SPEAKER_00
32.4,34.08,SPEAKER_00
39.44,44.32,SPEAKER_00
45.12,48.24,SPEAKER_00
48.64,51.12,SPEAKER_00
52.0,54.96,SPEAKER_00
55.2,56.0,SPEAKER_00
58.08,61.68,SPEAKER_00
62.0,63.52,SPEAKER_00
64.24,70.72,SPEAKER_00
70.88,74.56,SPEAKER_00
74.88,76.08,SPEAKER_00
76.48,78.96,SPEAKER_00
79.44,81.2,SPEAKER_00
81.44,84.0,SPEAKER_00
84.96,85.6,SPEAKER_00
86.0,86.32,SPEAKER_00
87.76,92.0,SPEAKER_00
93.76,94.0,SPEAKER_01
95.6,96.64,SPEAKER_01
95.84,96.24,SPEAKER_00
96.96,97.76,SPEAKER_00
97.52,98.48,SPEAKER_01
98.56,99.52,SPEAKER_00
99.36,102.08,SPEAKER_01
102.4,103.36,SPEAKER_00
103.2,103.68,SPEAKER_01
103.6,103.76,SPEAKER_02
104.16,105.04,SPEAKER_01
105.2,110.56,SPEAKER_00
111.12,112.88,SPEAKER_01
113.44,114.16,SPEAKER_01
114.32,114.96,SPEAKER_00
115.2,116.72,SPEAKER_01
117.28,119.36,SPEAKER_01
120.4,121.36,SPEAKER_01
121.76,125.6,SPEAKER_01
126.8,129.44,SPEAKER_01
130.08,134.48,SPEAKER_01
133.12,133.28,SPEAKER_00
135.44,137.12,SPEAKER_01
137.84,138.8,SPEAKER_01
139.52,142.48,SPEAKER_01
139.6,139.76,SPEAKER_00
142.72,143.76,SPEAKER_01
144.16,145.52,SPEAKER_01
145.84,149.76,SPEAKER_01
147.44,147.68,SPEAKER_00
150.08,153.6,SPEAKER_01
150.64,150.72,SPEAKER_02
151.04,151.12,SPEAKER_02
153.68,153.84,SPEAKER_00
154.48,155.52,SPEAKER_00
156.0,158.96,SPEAKER_00
159.36,161.76,SPEAKER_00
162.08,162.88,SPEAKER_01
162.72,163.52,SPEAKER_00
163.52,164.96,SPEAKER_01
164.96,165.12,SPEAKER_00
165.52,166.64,SPEAKER_01
168.16,169.12,SPEAKER_01
169.52,172.48,SPEAKER_01
172.88,176.08,SPEAKER_01
180.48,180.8,SPEAKER_00
180.88,181.04,SPEAKER_00
181.52,181.68,SPEAKER_00
181.76,182.16,SPEAKER_02
182.08,182.32,SPEAKER_00
182.32,182.48,SPEAKER_02
182.48,182.72,SPEAKER_00
182.72,182.8,SPEAKER_02
182.8,186.4,SPEAKER_00
186.72,187.36,SPEAKER_00
187.52,190.24,SPEAKER_00
190.96,191.92,SPEAKER_00
192.32,196.0,SPEAKER_00
196.24,200.96,SPEAKER_00
201.04,201.28,SPEAKER_01
201.68,201.76,SPEAKER_00
201.76,201.84,SPEAKER_02
201.84,202.16,SPEAKER_00
202.16,202.48,SPEAKER_02
202.4,202.56,SPEAKER_00
202.56,202.64,SPEAKER_02
202.64,204.08,SPEAKER_00
205.04,212.0,SPEAKER_00
212.32,214.24,SPEAKER_00
214.08,214.48,SPEAKER_01
214.56,215.84,SPEAKER_00
216.48,216.96,SPEAKER_00
217.04,217.12,SPEAKER_02
217.12,219.92,SPEAKER_00
220.0,220.08,SPEAKER_00
220.16,220.24,SPEAKER_00
220.56,221.28,SPEAKER_01
221.68,222.72,SPEAKER_00
222.72,222.8,SPEAKER_02
222.88,223.68,SPEAKER_00
223.68,223.84,SPEAKER_02
224.0,225.12,SPEAKER_00
225.44,225.68,SPEAKER_00
226.08,226.24,SPEAKER_00
226.24,226.4,SPEAKER_02
226.4,226.56,SPEAKER_00
226.56,226.88,SPEAKER_02
226.88,226.96,SPEAKER_00
226.96,227.28,SPEAKER_02
227.6,227.68,SPEAKER_00
227.76,227.92,SPEAKER_02
228.0,228.08,SPEAKER_00
228.16,228.24,SPEAKER_02
228.24,228.48,SPEAKER_00
228.64,228.96,SPEAKER_00
228.96,229.04,SPEAKER_02
229.04,231.92,SPEAKER_00
232.08,235.28,SPEAKER_01
235.76,238.0,SPEAKER_01
238.56,240.24,SPEAKER_01
240.56,243.52,SPEAKER_01
244.16,246.0,SPEAKER_01
246.48,256.8,SPEAKER_01
257.04,260.48,SPEAKER_01
260.56,260.64,SPEAKER_00
260.8,261.52,SPEAKER_01
261.76,262.0,SPEAKER_01
262.0,262.08,SPEAKER_02
262.24,270.16,SPEAKER_00
270.16,270.48,SPEAKER_02
270.56,271.12,SPEAKER_01
271.2,276.08,SPEAKER_00
276.48,277.92,SPEAKER_01
277.92,279.28,SPEAKER_00
279.52,279.76,SPEAKER_00
279.84,280.0,SPEAKER_02
280.0,280.16,SPEAKER_00
280.16,280.4,SPEAKER_02
280.4,282.32,SPEAKER_00
282.32,282.4,SPEAKER_02
282.4,282.56,SPEAKER_00
285.52,287.44,SPEAKER_01
288.4,290.24,SPEAKER_01
290.56,293.36,SPEAKER_01
293.52,294.8,SPEAKER_01
294.96,295.44,SPEAKER_01
295.52,295.68,SPEAKER_00
295.6,295.68,SPEAKER_02
296.0,296.8,SPEAKER_01
298.16,300.0,SPEAKER_01
300.24,301.68,SPEAKER_01
302.4,303.44,SPEAKER_01
304.08,307.36,SPEAKER_01
307.68,309.12,SPEAKER_01
309.92,310.8,SPEAKER_01
311.2,321.28,SPEAKER_01
322.72,325.52,SPEAKER_01
326.72,328.72,SPEAKER_01
329.12,331.12,SPEAKER_01
331.84,332.64,SPEAKER_01
332.96,333.28,SPEAKER_01
333.44,335.68,SPEAKER_01
335.76,336.64,SPEAKER_01
336.64,338.16,SPEAKER_00
337.04,337.12,SPEAKER_01
338.16,338.24,SPEAKER_02
338.24,338.32,SPEAKER_00
339.36,340.72,SPEAKER_00
340.64,341.28,SPEAKER_02
341.28,341.36,SPEAKER_00
341.36,341.76,SPEAKER_02
341.76,343.28,SPEAKER_00
343.28,343.36,SPEAKER_02
343.36,343.52,SPEAKER_00
343.52,343.6,SPEAKER_02
343.6,344.0,SPEAKER_00
344.0,344.08,SPEAKER_02
344.08,344.16,SPEAKER_00
344.16,344.32,SPEAKER_02
344.32,344.8,SPEAKER_00
344.8,344.88,SPEAKER_02
344.88,344.96,SPEAKER_00
344.96,345.2,SPEAKER_02
345.2,345.28,SPEAKER_00
345.28,345.52,SPEAKER_02
345.52,345.6,SPEAKER_00
345.6,345.92,SPEAKER_02
345.84,346.0,SPEAKER_00
346.0,346.24,SPEAKER_02
346.24,346.32,SPEAKER_00
346.4,346.88,SPEAKER_00
346.88,347.28,SPEAKER_02
347.28,347.36,SPEAKER_00
347.44,347.68,SPEAKER_00
348.0,348.64,SPEAKER_00
348.64,348.72,SPEAKER_02
348.72,348.8,SPEAKER_00
348.8,349.92,SPEAKER_02
349.84,350.08,SPEAKER_00
350.08,350.16,SPEAKER_02
350.16,350.24,SPEAKER_00
350.24,350.32,SPEAKER_02
350.32,350.4,SPEAKER_00
350.4,350.56,SPEAKER_02
350.56,351.36,SPEAKER_00
350.64,350.72,SPEAKER_02
351.36,351.44,SPEAKER_02
351.44,352.24,SPEAKER_00
352.24,352.4,SPEAKER_02
352.4,352.48,SPEAKER_00
352.48,352.56,SPEAKER_02
352.56,352.64,SPEAKER_00
352.64,352.72,SPEAKER_02
352.72,352.96,SPEAKER_00
