start_time,end_time,speaker
0.16,2.0,SPEAKER_0
2.32,6.8,SPEAKER_0
7.68,8.0,SPEAKER_0
9.84,11.2,SPEAKER_1
10.64,11.2,SPEAKER_0
23.76,25.52,SPEAKER_0
25.92,28.16,SPEAKER_0
33.36,34.96,SPEAKER_1
35.28,43.52,SPEAKER_1
44.64,72.64,SPEAKER_1
73.2,80.96,SPEAKER_1
82.32,85.52,SPEAKER_0
83.76,84.08,SPEAKER_1
86.4,90.8,SPEAKER_0
90.16,90.4,SPEAKER_1
90.88,91.04,SPEAKER_0
91.12,92.8,SPEAKER_0
93.44,94.4,SPEAKER_0
94.48,96.96,SPEAKER_0
96.88,97.28,SPEAKER_1
97.84,98.56,SPEAKER_0
99.28,112.8,SPEAKER_0
107.2,107.36,SPEAKER_1
112.88,116.0,SPEAKER_0
114.8,115.12,SPEAKER_1
116.08,116.4,SPEAKER_0
116.8,120.0,SPEAKER_0
120.4,124.8,SPEAKER_0
124.8,125.2,SPEAKER_1
125.44,126.88,SPEAKER_0
127.2,129.12,SPEAKER_0
129.68,133.68,SPEAKER_0
134.0,135.68,SPEAKER_0
135.68,136.0,SPEAKER_1
136.32,139.68,SPEAKER_0
138.96,139.28,SPEAKER_1
139.6,140.08,SPEAKER_1
140.88,143.44,SPEAKER_1
145.92,152.8,SPEAKER_0
152.96,153.28,SPEAKER_1
154.32,154.96,SPEAKER_0
155.52,156.72,SPEAKER_0
157.6,159.12,SPEAKER_0
159.28,159.44,SPEAKER_1
160.64,160.8,SPEAKER_0
160.88,161.28,SPEAKER_0
162.24,164.96,SPEAKER_0
164.96,165.36,SPEAKER_1
166.32,173.04,SPEAKER_0
169.28,169.6,SPEAKER_1
172.16,172.24,SPEAKER_1
173.92,176.8,SPEAKER_0
176.8,177.2,SPEAKER_1
177.12,178.88,SPEAKER_0
179.76,184.08,SPEAKER_0
186.72,188.8,SPEAKER_0
190.48,191.28,SPEAKER_0
191.6,192.8,SPEAKER_0
193.04,193.44,SPEAKER_1
193.68,194.08,SPEAKER_0
194.24,196.48,SPEAKER_0
197.92,199.6,SPEAKER_0
200.0,200.8,SPEAKER_0
201.12,202.24,SPEAKER_0
203.36,206.32,SPEAKER_0
206.64,207.6,SPEAKER_0
207.84,210.88,SPEAKER_1
208.88,209.12,SPEAKER_0
210.88,211.2,SPEAKER_0
211.52,212.88,SPEAKER_0
213.52,215.92,SPEAKER_0
216.4,216.48,SPEAKER_0
216.64,224.16,SPEAKER_0
224.56,255.04,SPEAKER_1
233.68,234.0,SPEAKER_0
240.96,242.08,SPEAKER_0
254.4,254.72,SPEAKER_0
255.28,255.6,SPEAKER_0
255.6,256.0,SPEAKER_1
256.64,257.76,SPEAKER_0
257.92,258.16,SPEAKER_1
260.0,265.36,SPEAKER_0
270.56,275.12,SPEAKER_1
277.6,281.12,SPEAKER_1
282.96,287.2,SPEAKER_1
287.28,289.2,SPEAKER_1
289.92,292.32,SPEAKER_1
292.4,300.07,SPEAKER_1
300.0,301.52,SPEAKER_0
302.24,323.2,SPEAKER_0
