start_time,end_time,speaker
0.16,2.0,SPEAKER_00
2.32,6.8,SPEAKER_00
7.68,8.0,SPEAKER_00
9.84,11.2,SPEAKER_01
10.64,11.2,SPEAKER_00
23.76,25.52,SPEAKER_00
25.92,28.16,SPEAKER_00
33.36,34.96,SPEAKER_01
35.28,43.52,SPEAKER_01
44.64,72.64,SPEAKER_01
73.2,80.96,SPEAKER_01
82.32,85.52,SPEAKER_00
83.76,84.08,SPEAKER_01
86.4,90.8,SPEAKER_00
90.16,90.4,SPEAKER_01
90.88,91.04,SPEAKER_00
91.12,92.8,SPEAKER_00
93.44,94.4,SPEAKER_00
94.48,96.96,SPEAKER_00
96.88,97.28,SPEAKER_01
97.84,98.56,SPEAKER_00
99.28,112.8,SPEAKER_00
107.2,107.36,SPEAKER_01
112.88,116.0,SPEAKER_00
114.8,115.12,SPEAKER_01
116.08,116.4,SPEAKER_00
116.8,120.0,SPEAKER_00
120.4,124.8,SPEAKER_00
124.8,125.2,SPEAKER_01
125.44,126.88,SPEAKER_00
127.2,129.12,SPEAKER_00
129.68,133.68,SPEAKER_00
134.0,135.68,SPEAKER_00
135.68,136.0,SPEAKER_01
136.32,139.68,SPEAKER_00
138.96,139.28,SPEAKER_01
139.6,140.08,SPEAKER_01
140.88,143.44,SPEAKER_01
145.92,152.8,SPEAKER_00
152.96,153.28,SPEAKER_01
154.32,154.96,SPEAKER_00
155.52,156.72,SPEAKER_00
157.6,159.12,SPEAKER_00
159.28,159.44,SPEAKER_01
160.64,160.8,SPEAKER_00
160.88,161.28,SPEAKER_00
162.24,164.96,SPEAKER_00
164.96,165.36,SPEAKER_01
166.32,173.04,SPEAKER_00
169.28,169.6,SPEAKER_01
172.16,172.24,SPEAKER_01
173.92,176.8,SPEAKER_00
176.8,177.2,SPEAKER_01
177.12,178.88,SPEAKER_00
179.76,184.08,SPEAKER_00
186.72,188.8,SPEAKER_00
190.48,191.28,SPEAKER_00
191.6,192.8,SPEAKER_00
193.04,193.44,SPEAKER_01
193.68,194.08,SPEAKER_00
194.24,196.48,SPEAKER_00
197.92,199.6,SPEAKER_00
200.0,200.8,SPEAKER_00
201.12,202.24,SPEAKER_00
203.36,206.32,SPEAKER_00
206.64,207.6,SPEAKER_00
207.84,210.88,SPEAKER_01
208.88,209.12,SPEAKER_00
210.88,211.2,SPEAKER_00
211.52,212.88,SPEAKER_00
213.52,215.92,SPEAKER_00
216.4,216.48,SPEAKER_00
216.64,224.16,SPEAKER_00
224.56,255.04,SPEAKER_01
233.68,234.0,SPEAKER_00
240.96,242.08,SPEAKER_00
254.4,254.72,SPEAKER_00
255.28,255.6,SPEAKER_00
255.6,256.0,SPEAKER_01
256.64,257.76,SPEAKER_00
257.92,258.16,SPEAKER_01
260.0,265.36,SPEAKER_00
270.56,275.12,SPEAKER_01
277.6,281.12,SPEAKER_01
282.96,287.2,SPEAKER_01
287.28,289.2,SPEAKER_01
289.92,292.32,SPEAKER_01
292.4,300.07,SPEAKER_01
300.0,301.52,SPEAKER_00
302.24,323.2,SPEAKER_00
323.52,323.6,SPEAKER_00
323.68,333.52,SPEAKER_00
333.84000000000003,356.96,SPEAKER_00
356.48,357.68,SPEAKER_01
357.04,371.76,SPEAKER_00
360.88,361.28,SPEAKER_01
372.56,375.36,SPEAKER_00
375.92,383.36,SPEAKER_00
383.6,383.92,SPEAKER_01
384.08,384.24,SPEAKER_01
384.15999999999997,384.24,SPEAKER_00
384.4,385.6,SPEAKER_01
385.76,389.44,SPEAKER_01
386.4,386.64,SPEAKER_00
387.36,387.92,SPEAKER_00
389.52,395.28,SPEAKER_01
395.28,395.6,SPEAKER_00
395.76,398.0,SPEAKER_01
398.56,402.24,SPEAKER_01
402.56,413.84000000000003,SPEAKER_00
411.92,415.2,SPEAKER_01
414.24,417.68,SPEAKER_00
415.36,415.6,SPEAKER_01
417.6,417.92,SPEAKER_01
418.56,423.52,SPEAKER_00
423.76,425.92,SPEAKER_00
426.32,429.36,SPEAKER_00
426.96,427.28,SPEAKER_01
429.91999999999996,433.76,SPEAKER_00
434.64,439.52,SPEAKER_00
440.15999999999997,449.84000000000003,SPEAKER_00
448.15999999999997,452.72,SPEAKER_01
453.03999999999996,455.03999999999996,SPEAKER_01
454.72,461.36,SPEAKER_00
457.84000000000003,458.8,SPEAKER_01
460.0,460.48,SPEAKER_01
