start_time,end_time,speaker
0.32,5.52,SPEAKER_01
5.92,9.12,SPEAKER_01
9.44,11.2,SPEAKER_01
11.44,15.84,SPEAKER_01
16.32,19.92,SPEAKER_01
20.0,23.28,SPEAKER_01
23.6,25.2,SPEAKER_01
25.44,27.6,SPEAKER_01
27.76,29.76,SPEAKER_01
29.84,35.04,SPEAKER_01
36.96,39.84,SPEAKER_00
40.24,43.52,SPEAKER_00
44.16,46.8,SPEAKER_00
46.88,49.28,SPEAKER_00
49.84,51.28,SPEAKER_00
51.84,54.88,SPEAKER_00
55.28,57.52,SPEAKER_00
57.84,64.08,SPEAKER_00
64.4,65.52,SPEAKER_00
65.76,67.6,SPEAKER_00
68.0,69.92,SPEAKER_00
70.16,72.56,SPEAKER_00
72.88,75.76,SPEAKER_00
76.16,78.24,SPEAKER_00
78.4,79.84,SPEAKER_00
80.08,82.0,SPEAKER_00
82.56,86.4,SPEAKER_01
86.96,87.92,SPEAKER_01
87.04,87.12,SPEAKER_00
88.24,90.48,SPEAKER_01
92.72,93.04,SPEAKER_00
93.44,98.08,SPEAKER_00
98.24,98.88,SPEAKER_00
99.36,101.68,SPEAKER_00
102.08,105.2,SPEAKER_00
105.92,107.44,SPEAKER_00
107.6,110.8,SPEAKER_00
111.04,113.28,SPEAKER_00
113.6,116.64,SPEAKER_00
117.12,119.84,SPEAKER_00
120.16,123.84,SPEAKER_00
124.24,127.6,SPEAKER_00
127.92,132.32,SPEAKER_00
132.56,135.92,SPEAKER_00
136.4,138.8,SPEAKER_00
139.12,140.8,SPEAKER_00
141.2,144.32,SPEAKER_00
144.8,147.44,SPEAKER_00
147.92,150.56,SPEAKER_00
151.12,154.72,SPEAKER_00
155.12,157.52,SPEAKER_00
158.0,160.72,SPEAKER_00
161.12,162.0,SPEAKER_00
161.84,162.0,SPEAKER_01
162.4,165.28,SPEAKER_00
165.36,167.36,SPEAKER_00
168.08,169.44,SPEAKER_01
169.52,174.32,SPEAKER_01
174.48,176.16,SPEAKER_01
176.72,178.16,SPEAKER_01
178.24,185.76,SPEAKER_01
188.0,192.96,SPEAKER_00
193.6,197.6,SPEAKER_00
198.32,199.68,SPEAKER_00
200.32,204.24,SPEAKER_00
204.88,206.0,SPEAKER_00
206.24,208.4,SPEAKER_00
208.8,210.72,SPEAKER_00
210.64,210.8,SPEAKER_02
211.6,213.04,SPEAKER_01
215.84,218.16,SPEAKER_00
218.56,222.16,SPEAKER_00
222.8,230.88,SPEAKER_00
231.04,232.0,SPEAKER_00
232.48,233.12,SPEAKER_00
233.68,237.6,SPEAKER_00
238.32,244.08,SPEAKER_01
244.24,254.96,SPEAKER_01
256.96,260.32,SPEAKER_00
260.88,264.96,SPEAKER_00
265.52,267.52,SPEAKER_00
267.84,268.64,SPEAKER_00
268.96,270.24,SPEAKER_00
270.72,272.96,SPEAKER_00
273.52,275.44,SPEAKER_00
276.0,278.8,SPEAKER_00
279.44,280.8,SPEAKER_00
280.96,282.48,SPEAKER_00
282.8,283.84,SPEAKER_00
284.24,288.16,SPEAKER_00
288.56,292.0,SPEAKER_00
290.56,290.88,SPEAKER_01
292.4,293.76,SPEAKER_00
294.16,300.07,SPEAKER_01
300.0,304.0,SPEAKER_01
304.32,308.4,SPEAKER_01
308.72,309.92,SPEAKER_01
310.0,310.48,SPEAKER_01
310.72,311.28,SPEAKER_01
312.48,313.04,SPEAKER_01
313.28,315.84,SPEAKER_01
314.0,314.24,SPEAKER_00
317.6,318.0,SPEAKER_00
318.4,319.84,SPEAKER_00
320.0,323.68,SPEAKER_00
324.16,324.88,SPEAKER_00
325.52,326.32,SPEAKER_00
326.88,330.72,SPEAKER_00
330.8,332.24,SPEAKER_00
332.96,334.08,SPEAKER_00
334.56,335.76,SPEAKER_00
336.24,339.84000000000003,SPEAKER_00
339.28,339.44,SPEAKER_01
340.32,341.36,SPEAKER_00
341.68,342.72,SPEAKER_00
343.28,344.88,SPEAKER_00
345.12,348.56,SPEAKER_00
349.04,351.2,SPEAKER_00
351.76,354.64,SPEAKER_00
355.04,356.48,SPEAKER_00
356.64,357.44,SPEAKER_00
358.0,360.56,SPEAKER_00
361.12,363.84,SPEAKER_00
363.92,364.8,SPEAKER_00
364.0,364.24,SPEAKER_01
365.2,368.24,SPEAKER_00
368.56,370.88,SPEAKER_00
371.28,371.84,SPEAKER_00
372.64,373.52,SPEAKER_00
373.92,375.28,SPEAKER_00
375.84,378.64,SPEAKER_00
379.04,380.48,SPEAKER_00
380.64,380.72,SPEAKER_00
380.96,382.8,SPEAKER_00
383.28,386.96,SPEAKER_00
384.48,384.8,SPEAKER_01
387.28,388.48,SPEAKER_00
388.88,390.16,SPEAKER_00
390.72,392.4,SPEAKER_00
392.8,394.64,SPEAKER_00
395.04,398.88,SPEAKER_00
396.4,396.72,SPEAKER_01
399.28,402.16,SPEAKER_00
400.88,401.12,SPEAKER_01
403.28,404.32,SPEAKER_01
404.4,407.68,SPEAKER_01
409.52,410.32,SPEAKER_00
411.44,412.4,SPEAKER_00
412.72,413.92,SPEAKER_00
414.72,418.0,SPEAKER_00
418.56,422.4,SPEAKER_00
420.88,421.04,SPEAKER_01
423.12,424.72,SPEAKER_00
425.28,428.08,SPEAKER_00
425.36,425.44,SPEAKER_01
428.48,429.44,SPEAKER_00
428.64,428.88,SPEAKER_01
430.24,433.12,SPEAKER_00
432.88,435.44,SPEAKER_01
435.68,438.88,SPEAKER_01
441.28,445.6,SPEAKER_00
446.08,446.24,SPEAKER_01
446.08,447.84,SPEAKER_00
448.24,449.04,SPEAKER_00
449.2,450.24,SPEAKER_00
450.56,450.96,SPEAKER_00
451.84,452.4,SPEAKER_00
452.88,454.56,SPEAKER_00
455.12,458.56,SPEAKER_00
459.28,461.2,SPEAKER_00
460.96,461.04,SPEAKER_01
461.52,462.4,SPEAKER_00
462.8,464.0,SPEAKER_00
464.56,465.76,SPEAKER_00
466.16,467.04,SPEAKER_00
467.68,469.84,SPEAKER_01
470.4,472.24,SPEAKER_01
472.72,482.96,SPEAKER_01
483.12,486.48,SPEAKER_01
486.64,487.12,SPEAKER_01
487.44,489.04,SPEAKER_01
490.96,494.32,SPEAKER_00
494.72,497.2,SPEAKER_00
497.44,501.36,SPEAKER_00
497.52,497.84,SPEAKER_01
501.6,504.24,SPEAKER_00
504.64,506.88,SPEAKER_00
507.04,509.84,SPEAKER_00
510.96,511.28,SPEAKER_01
512.88,519.04,SPEAKER_01
519.2,520.4,SPEAKER_01
522.96,525.84,SPEAKER_00
526.48,529.44,SPEAKER_00
530.16,532.88,SPEAKER_00
532.4,532.48,SPEAKER_01
532.96,534.16,SPEAKER_00
534.48,535.28,SPEAKER_00
534.56,534.88,SPEAKER_01
535.6,537.04,SPEAKER_00
537.6800000000001,539.6,SPEAKER_00
539.84,542.88,SPEAKER_00
543.52,544.56,SPEAKER_00
545.2,547.6,SPEAKER_00
548.16,550.88,SPEAKER_00
548.24,549.52,SPEAKER_01
551.36,556.4,SPEAKER_01
557.04,557.76,SPEAKER_01
557.6,557.6800000000001,SPEAKER_00
558.64,558.8,SPEAKER_00
559.52,564.1600000000001,SPEAKER_00
563.28,563.36,SPEAKER_01
565.44,566.0,SPEAKER_01
566.3199999999999,572.3199999999999,SPEAKER_01
572.4,576.0,SPEAKER_01
576.24,577.76,SPEAKER_01
579.76,581.9200000000001,SPEAKER_00
