start,end,start_frame,end_frame,speaker
0.03096875,2.00534375,0,48,SPEAKER_01
2.29221875,8.92409375,55,214,SPEAKER_01
9.78471875,9.852218750000002,234,236,SPEAKER_02
9.852218750000002,9.88596875,236,237,SPEAKER_01
9.88596875,11.337218750000002,237,272,SPEAKER_02
10.594718750000002,11.03346875,254,264,SPEAKER_01
23.70659375,28.11096875,568,674,SPEAKER_01
33.274718750000005,33.291593750000004,798,798,SPEAKER_01
33.291593750000004,43.53471875,798,1044,SPEAKER_02
44.580968750000004,52.83284375,1069,1267,SPEAKER_02
53.03534375,72.50909375,1272,1740,SPEAKER_02
73.13346875,78.01034375,1755,1872,SPEAKER_02
78.21284375,80.96346875,1877,1943,SPEAKER_02
82.34721875000001,85.50284375000001,1976,2052,SPEAKER_01
83.68034375,84.15284375,2008,2019,SPEAKER_02
86.36346875000001,92.80971875,2072,2227,SPEAKER_01
93.28221875000001,97.38284375,2238,2337,SPEAKER_01
97.73721875000001,98.56409375000001,2345,2365,SPEAKER_01
99.15471875,126.91409375,2379,3045,SPEAKER_01
125.68221875,125.96909375000001,3016,3023,SPEAKER_00
127.15034375,129.04034375,3051,3096,SPEAKER_01
129.64784375000002,139.97534375,3111,3359,SPEAKER_01
138.87846875,139.40159375000002,3333,3345,SPEAKER_02
139.97534375,139.99221875,3359,3359,SPEAKER_02
140.81909375,143.40096875,3379,3441,SPEAKER_01
143.40096875,143.41784375,3441,3442,SPEAKER_02
143.41784375,143.43471875,3442,3442,SPEAKER_01
145.89846875,153.27284375000002,3501,3678,SPEAKER_01
154.21784375000001,154.94346875000002,3701,3718,SPEAKER_01
155.46659375000002,156.66471875000002,3731,3759,SPEAKER_01
157.54221875000002,159.07784375,3781,3817,SPEAKER_01
159.07784375,159.49971875,3817,3827,SPEAKER_02
160.51221875000002,161.28846875000002,3852,3870,SPEAKER_01
162.14909375000002,165.35534375,3891,3968,SPEAKER_01
166.21596875,172.99971875,3989,4151,SPEAKER_01
173.86034375,178.97346875000002,4172,4295,SPEAKER_01
179.71596875,184.03596875000002,4313,4416,SPEAKER_01
186.65159375000002,188.79471875000002,4479,4531,SPEAKER_01
190.43159375000002,191.17409375000003,4570,4588,SPEAKER_01
191.51159375,196.40534375000001,4596,4713,SPEAKER_01
197.85659375,202.12596875000003,4748,4851,SPEAKER_01
203.25659375,206.44596875000002,4878,4954,SPEAKER_01
206.58096875,212.84159375000002,4957,5108,SPEAKER_01
213.44909375,215.94659375,5122,5182,SPEAKER_01
215.98034375,224.16471875000002,5183,5379,SPEAKER_01
223.84409375,224.04659375000003,5372,5377,SPEAKER_02
224.43471875,237.46221875,5386,5699,SPEAKER_02
233.61471875,234.01971875,5606,5616,SPEAKER_01
234.01971875,234.07034375,5616,5617,SPEAKER_00
234.99846875000003,235.03221875000003,5639,5640,SPEAKER_00
235.03221875000003,235.38659375,5640,5649,SPEAKER_01
235.38659375,235.42034375000003,5649,5650,SPEAKER_00
237.74909375000001,242.33909375000002,5705,5816,SPEAKER_02
240.83721875,242.11971875,5780,5810,SPEAKER_01
242.57534375,248.21159375000002,5821,5957,SPEAKER_02
248.22846875000002,248.34659375,5957,5960,SPEAKER_02
248.38034375,255.13034375,5961,6123,SPEAKER_02
254.23596875,254.94471875000002,6101,6118,SPEAKER_01
255.19784375,255.21471875,6124,6125,SPEAKER_02
255.21471875,255.97409375,6125,6143,SPEAKER_01
256.54784375,257.81346875,6157,6187,SPEAKER_01
257.81346875,258.03284375000004,6187,6192,SPEAKER_02
258.03284375000004,258.21846875,6192,6197,SPEAKER_01
259.93971875,265.40721875,6238,6369,SPEAKER_01
267.16221875,267.31409375000004,6411,6415,SPEAKER_01
267.31409375000004,267.43221875,6415,6418,SPEAKER_02
270.52034375,275.09346875,6492,6602,SPEAKER_02
277.55721875,281.21909375,6661,6749,SPEAKER_02
282.92346875000004,286.73721875,6790,6881,SPEAKER_02
287.22659375,289.18409375000005,6893,6940,SPEAKER_02
289.85909375,291.91784375000003,6956,7006,SPEAKER_02
292.32284375,301.45221875000004,7015,7234,SPEAKER_02
302.21159375,306.02534375000005,7253,7344,SPEAKER_02
306.70034375,310.76721875000004,7360,7458,SPEAKER_02
311.27346875,322.96784375000004,7470,7751,SPEAKER_02
323.57534375,333.32909375,7765,7999,SPEAKER_02
333.86909375000005,342.12096875000003,8012,8210,SPEAKER_02
342.37409375000004,344.19659375000003,8216,8260,SPEAKER_02
344.38221875000005,355.67159375,8265,8536,SPEAKER_02
355.85721875,364.95284375,8540,8758,SPEAKER_02
356.39721875000004,357.57846875,8553,8581,SPEAKER_01
360.78471875,361.30784375,8658,8671,SPEAKER_01
365.25659375000004,371.70284375,8766,8920,SPEAKER_02
372.47909375,375.19596875,8939,9004,SPEAKER_02
375.85409375,383.27909375,9020,9198,SPEAKER_02
383.49846875000003,383.98784375,9203,9215,SPEAKER_01
383.98784375,384.32534375,9215,9223,SPEAKER_02
384.00471875000005,384.02159375,9216,9216,SPEAKER_01
384.32534375,398.07846875,9223,9553,SPEAKER_01
386.43471875,386.51909375,9274,9276,SPEAKER_02
398.44971875000005,402.97221875,9562,9671,SPEAKER_01
402.97221875,413.87346875000003,9671,9932,SPEAKER_02
411.83159375,414.10971875,9883,9938,SPEAKER_01
414.10971875,417.90659375,9938,10029,SPEAKER_02
414.14346875,415.12221875,9939,9962,SPEAKER_01
415.22346875000005,415.57784375,9965,9973,SPEAKER_01
417.50159375000004,417.68721875,10020,10024,SPEAKER_01
418.53096875,419.45909375,10044,10067,SPEAKER_02
419.79659375,423.27284375000005,10075,10158,SPEAKER_02
423.77909375,425.85471875,10170,10220,SPEAKER_02
426.27659375,429.31409375000004,10230,10303,SPEAKER_02
426.91784375000003,427.30596875000003,10246,10255,SPEAKER_00
429.87096875000003,433.73534375,10316,10409,SPEAKER_02
434.52846875,436.78971875,10428,10482,SPEAKER_02
437.07659375000003,439.43909375000004,10489,10546,SPEAKER_02
440.13096875,441.86909375000005,10563,10604,SPEAKER_02
442.15596875000006,443.25284375,10611,10638,SPEAKER_02
443.64096875,446.64471875000004,10647,10719,SPEAKER_02
446.66159375,449.71596875,10719,10793,SPEAKER_02
448.09596875000005,455.08221875000004,10754,10921,SPEAKER_01
454.60971875,461.32596875,10910,11071,SPEAKER_02
457.79909375000005,458.98034375000003,10987,11015,SPEAKER_01
459.89159375,466.40534375000004,11037,11193,SPEAKER_01
467.85659375000006,476.14221875000004,11228,11427,SPEAKER_01
