frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
169, 0, 7.007, 0.98, 1, 0.00, 0.00, 1.44, 1.38, 2.01, 0.00, 0.68, 2.39, 3.05, 0.85, 0.00, 0.00, 0.00, 0.00, 1.57, 0.96, 0.00, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
169, 1, 7.007, 0.93, 1, 0.57, 0.83, 0.00, 2.55, 0.00, 0.02, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.92, 1.25, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
170, 0, 7.049, 0.98, 1, 0.00, 0.00, 1.39, 0.93, 2.00, 0.00, 0.52, 2.30, 3.17, 0.99, 0.00, 0.00, 0.00, 0.00, 1.67, 0.86, 0.00, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
170, 1, 7.049, 0.93, 1, 0.63, 0.90, 0.00, 2.02, 0.00, 0.00, 0.24, 0.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.72, 1.66, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
171, 0, 7.090, 0.98, 1, 0.00, 0.00, 1.10, 1.33, 2.02, 0.00, 0.40, 2.12, 3.06, 1.32, 0.00, 0.00, 0.00, 0.00, 1.62, 0.90, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
171, 1, 7.090, 0.93, 1, 0.76, 0.70, 0.00, 2.05, 0.00, 0.00, 0.13, 0.24, 0.00, 0.00, 0.01, 0.00, 0.00, 0.00, 0.61, 1.56, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
172, 0, 7.132, 0.98, 1, 0.00, 0.00, 0.75, 1.67, 1.80, 0.06, 0.06, 2.16, 3.10, 1.40, 0.00, 0.00, 0.00, 0.00, 1.58, 1.02, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
172, 1, 7.132, 0.93, 1, 0.85, 0.90, 0.00, 1.68, 0.00, 0.00, 0.16, 0.29, 0.00, 0.00, 0.10, 0.01, 0.00, 0.00, 0.66, 1.60, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
173, 0, 7.174, 0.98, 1, 0.00, 0.00, 0.59, 1.79, 1.59, 0.02, 0.00, 2.06, 3.22, 1.47, 0.00, 0.00, 0.00, 0.00, 1.48, 0.62, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
173, 1, 7.174, 0.93, 1, 0.80, 0.77, 0.00, 2.31, 0.00, 0.00, 0.12, 0.55, 0.00, 0.00, 0.11, 0.00, 0.00, 0.00, 1.57, 1.79, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
174, 0, 7.216, 0.98, 1, 0.07, 0.10, 0.61, 1.61, 1.52, 0.00, 0.00, 2.09, 3.37, 1.64, 0.00, 0.00, 0.00, 0.00, 1.52, 0.67, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
174, 1, 7.216, 0.93, 1, 0.70, 0.86, 0.00, 1.65, 0.00, 0.00, 0.04, 0.78, 0.26, 0.00, 0.06, 0.00, 0.54, 0.00, 2.42, 1.59, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0
