start_frame,end_frame,start_sec,end_sec,type
2,960,0.08,40.0,dyadic
962,1240,40.08,51.67,other
1242,1312,51.75,54.67,single
1318,1438,54.92,59.92,single
1440,1536,60.0,64.0,other
1568,1616,65.33,67.33,other
1618,1744,67.42,72.67,dyadic
1752,1879,73.0,78.29,dyadic
1881,1992,78.38,83.0,dyadic
1997,2248,83.21,93.67,dyadic
2255,2496,93.96,104.0,dyadic
2502,2712,104.25,113.0,dyadic
2717,3096,113.21,129.0,dyadic
3104,3329,129.33,138.71,dyadic
3378,3425,140.75,142.71,other
3427,4296,142.79,179.0,dyadic
4304,4856,179.33,202.33,dyadic
4863,5184,202.62,216.0,dyadic
5197,5504,216.54,229.33,dyadic
5508,6816,229.5,284.0,dyadic
6825,6885,284.38,286.88,dyadic
6887,6912,286.96,288.0,single
6914,7243,288.08,301.79,dyadic
7290,7415,303.75,308.96,dyadic
7417,8320,309.04,346.67,dyadic
8324,8463,346.83,352.62,dyadic
8465,8696,352.71,362.33,dyadic
8702,9256,362.58,385.67,dyadic
9266,9310,386.08,387.92,dyadic
9362,9696,390.08,404.0,dyadic
9698,9968,404.08,415.33,dyadic
9976,11208,415.67,467.0,dyadic
11214,11503,467.25,479.29,dyadic
11505,12351,479.38,514.62,dyadic
12353,12560,514.71,523.33,dyadic
12565,12960,523.54,540.0,dyadic
12964,13248,540.17,552.0,dyadic
13253,13703,552.21,570.96,dyadic
13705,14616,571.04,609.0,dyadic
14621,14856,609.21,619.0,dyadic
14862,15350,619.25,639.58,dyadic
15358,15456,639.92,644.0,other
15458,15542,644.08,647.58,dyadic
15554,16040,648.08,668.33,dyadic
16044,16312,668.5,679.67,dyadic
16316,16623,679.83,692.62,dyadic
16625,16766,692.71,698.58,dyadic
16794,16968,699.75,707.0,dyadic
16974,17287,707.25,720.29,dyadic
17289,17668,720.38,736.17,dyadic
17674,18144,736.42,756.0,dyadic
18152,18312,756.33,763.0,dyadic
18316,18536,763.17,772.33,dyadic
18544,19560,772.67,815.0,dyadic
19578,19776,815.75,824.0,dyadic
19784,20472,824.33,853.0,dyadic
20477,20711,853.21,862.96,dyadic
20713,21184,863.04,882.67,dyadic
21189,21230,882.88,884.58,dyadic
21266,21331,886.08,888.79,dyadic
