start,end,speaker
0.03096875,35.01284375,SPEAKER_01
36.88596875,43.46721875,SPEAKER_00
44.024093750000006,49.25534375,SPEAKER_00
49.710968750000006,51.24659375,SPEAKER_00
51.719093750000006,54.773468750000006,SPEAKER_00
55.212218750000005,81.97596875,SPEAKER_00
81.97596875,82.21221875,SPEAKER_01
82.34721875000001,90.46409375,SPEAKER_01
92.59034375,98.98596875000001,SPEAKER_00
99.12096875,105.26346875,SPEAKER_00
105.75284375000001,150.65721875,SPEAKER_00
150.92721875,167.39721875,SPEAKER_00
168.00471875000002,168.03846875000002,SPEAKER_00
168.03846875000002,185.67284375,SPEAKER_01
187.88346875000002,192.97971875000002,SPEAKER_00
193.48596875,197.78909375,SPEAKER_00
198.14346875,199.72971875000002,SPEAKER_00
200.16846875000002,204.21846875,SPEAKER_00
204.72471875000002,208.25159375,SPEAKER_00
208.69034375,210.73221875000002,SPEAKER_00
211.52534375000002,212.97659375,SPEAKER_00
215.74409375000002,218.08971875,SPEAKER_00
218.42721875,222.24096875,SPEAKER_00
222.61221875,232.01159375,SPEAKER_00
232.31534375,233.05784375000002,SPEAKER_00
233.59784375,237.52971875000003,SPEAKER_00
237.52971875000003,237.59721875000002,SPEAKER_01
238.17096875000001,254.94471875000002,SPEAKER_01
256.88534375,260.31096875000003,SPEAKER_00
260.76659375,265.20471875000004,SPEAKER_00
265.37346875000003,270.30096875000004,SPEAKER_00
270.58784375,275.43096875000003,SPEAKER_00
275.86971875,278.78909375,SPEAKER_00
279.34596875,292.01909375,SPEAKER_00
290.50034375,290.93909375000004,SPEAKER_01
292.30596875000003,293.43659375000004,SPEAKER_00
293.43659375000004,293.65596875,SPEAKER_01
293.65596875,293.68971875,SPEAKER_00
293.68971875,311.27346875,SPEAKER_01
312.33659375,315.84659375,SPEAKER_01
313.75409375000004,314.20971875000004,SPEAKER_00
317.53409375,325.09409375,SPEAKER_00
325.31346875,326.30909375000005,SPEAKER_00
326.74784375,332.21534375000005,SPEAKER_00
332.82284375,333.95346875,SPEAKER_00
334.47659375,335.79284375000003,SPEAKER_00
336.11346875000004,342.88034375,SPEAKER_00
343.09971875,371.88846875,SPEAKER_00
372.46221875000003,373.64346875,SPEAKER_00
373.76159375000003,375.36471875,SPEAKER_00
375.71909375,390.29909375,SPEAKER_00
390.48471875,402.09471875,SPEAKER_00
403.14096875,407.68034375,SPEAKER_01
409.36784375,410.21159375,SPEAKER_00
411.34221875000003,413.89034375,SPEAKER_00
414.59909375,418.04159375,SPEAKER_00
418.42971875,422.36159375000005,SPEAKER_00
423.05346875000004,424.82534375,SPEAKER_00
425.07846875,429.49971875,SPEAKER_00
425.14596875,425.44971875000005,SPEAKER_01
428.40284375000005,428.85846875000004,SPEAKER_01
430.07346875,432.89159375,SPEAKER_00
432.89159375,438.93284375,SPEAKER_01
441.16034375000004,445.63221875000005,SPEAKER_00
445.90221875000003,450.94784375,SPEAKER_00
451.70721875000004,452.48346875000004,SPEAKER_00
452.73659375000005,454.57596875,SPEAKER_00
454.99784375,458.62596875,SPEAKER_00
459.19971875000005,464.09346875000006,SPEAKER_00
464.34659375,466.94534375,SPEAKER_00
466.94534375,467.02971875000003,SPEAKER_01
467.56971875000005,467.58659375,SPEAKER_00
467.58659375,489.03471875,SPEAKER_01
490.87409375000004,509.84159375,SPEAKER_00
510.83721875000003,510.85409375000006,SPEAKER_00
510.85409375000006,511.29284375000003,SPEAKER_01
512.7609687500001,512.7778437500001,SPEAKER_00
512.7778437500001,520.3715937500001,SPEAKER_01
522.86909375,525.82221875,SPEAKER_00
526.34534375,529.45034375,SPEAKER_00
529.99034375,537.0947187500001,SPEAKER_00
532.13346875,532.6397187499999,SPEAKER_01
537.5672187499999,543.0347187500001,SPEAKER_00
543.3047187500001,544.67159375,SPEAKER_00
545.05971875,547.74284375,SPEAKER_00
547.97909375,548.01284375,SPEAKER_00
548.01284375,549.2109687500001,SPEAKER_01
548.02971875,550.1728437500001,SPEAKER_00
550.1728437500001,550.24034375,SPEAKER_01
550.24034375,550.54409375,SPEAKER_00
550.54409375,550.6284687500001,SPEAKER_01
550.6284687500001,550.67909375,SPEAKER_00
550.67909375,550.7634687500001,SPEAKER_01
550.7634687500001,550.7803437499999,SPEAKER_00
550.7803437499999,550.79721875,SPEAKER_01
551.23596875,551.25284375,SPEAKER_00
551.25284375,556.46721875,SPEAKER_01
556.85534375,557.73284375,SPEAKER_01
557.73284375,557.7665937500001,SPEAKER_00
558.57659375,558.7453437500001,SPEAKER_00
559.4540937500001,563.9765937500001,SPEAKER_00
563.9765937500001,564.2297187500001,SPEAKER_01
565.32659375,565.34346875,SPEAKER_00
565.34346875,577.83096875,SPEAKER_01
579.68721875,610.28159375,SPEAKER_00
610.87221875,616.1372187500001,SPEAKER_00
616.5759687500001,639.01971875,SPEAKER_00
639.01971875,639.0872187500001,SPEAKER_01
639.84659375,639.96471875,SPEAKER_00
639.96471875,648.9084687500001,SPEAKER_01
650.96721875,657.2278437500001,SPEAKER_00
657.31221875,659.77596875,SPEAKER_00
660.1809687500001,665.7834687500001,SPEAKER_00
666.42471875,670.10346875,SPEAKER_00
670.20471875,676.56659375,SPEAKER_00
676.93784375,679.89096875,SPEAKER_00
680.3803437500001,682.05096875,SPEAKER_00
682.2365937500001,684.8859687500001,SPEAKER_00
685.2065937500001,688.88534375,SPEAKER_00
688.5478437500001,688.5984687499999,SPEAKER_01
