start_time,end_time,category,speaker
0.03,16.95,single,SPEAKER_00
17.02,35.03,dyadic,SPEAKER_00
36.94,42.81,dyadic,SPEAKER_01
42.88,81.03,single,SPEAKER_01
81.03,82.85,single,SPEAKER_00
82.92,90.53,dyadic,SPEAKER_00
92.64,107.21,dyadic,SPEAKER_01
107.27,149.58,single,SPEAKER_01
149.65,167.45,dyadic,SPEAKER_01
168.04,185.71,dyadic,SPEAKER_00
187.92,205.97,dyadic,SPEAKER_01
206.04,210.77,single,SPEAKER_01
211.54,212.03,single,SPEAKER_01
212.03,212.65,single,SPEAKER_00
212.71,212.96,dyadic,SPEAKER_00
212.96,213.01,dyadic,SPEAKER_01
215.78,237.02,dyadic,SPEAKER_01
237.02,255.00,dyadic,SPEAKER_00
256.94,265.87,dyadic,SPEAKER_01
265.93,292.09,single,SPEAKER_01
290.55,290.96,single,SPEAKER_00
292.34,293.77,single,SPEAKER_01
293.77,294.89,single,SPEAKER_00
294.96,311.32,dyadic,SPEAKER_00
312.37,315.90,dyadic,SPEAKER_00
313.84,314.26,dyadic,SPEAKER_01
317.58,327.76,dyadic,SPEAKER_01
327.83,360.80,single,SPEAKER_01
339.18,339.44,single,SPEAKER_00
360.97,379.15,single,SPEAKER_01
379.21,402.13,dyadic,SPEAKER_01
403.17,407.71,dyadic,SPEAKER_00
409.42,410.26,dyadic,SPEAKER_01
411.38,413.92,dyadic,SPEAKER_01
414.65,422.41,dyadic,SPEAKER_01
423.09,429.53,dyadic,SPEAKER_01
425.18,425.47,dyadic,SPEAKER_00
428.52,428.89,dyadic,SPEAKER_00
430.11,432.94,dyadic,SPEAKER_01
432.94,438.97,dyadic,SPEAKER_00
441.19,447.88,dyadic,SPEAKER_01
447.95,450.98,single,SPEAKER_01
451.74,466.03,single,SPEAKER_01
466.03,467.60,single,SPEAKER_00
467.60,467.62,single,SPEAKER_01
467.62,468.90,single,SPEAKER_00
468.97,489.07,dyadic,SPEAKER_00
490.91,509.89,dyadic,SPEAKER_01
510.87,510.90,dyadic,SPEAKER_01
510.90,511.34,dyadic,SPEAKER_00
512.79,520.42,dyadic,SPEAKER_00
522.90,528.13,dyadic,SPEAKER_01
528.19,537.15,single,SPEAKER_01
532.18,532.49,single,SPEAKER_00
537.60,537.97,single,SPEAKER_01
538.04,547.81,dyadic,SPEAKER_01
548.03,549.26,dyadic,SPEAKER_00
548.05,549.46,dyadic,SPEAKER_01
549.46,549.60,dyadic,SPEAKER_00
549.60,550.04,dyadic,SPEAKER_01
550.04,557.77,dyadic,SPEAKER_00
557.77,557.80,dyadic,SPEAKER_01
558.61,558.80,dyadic,SPEAKER_01
559.49,564.03,dyadic,SPEAKER_01
564.03,564.26,dyadic,SPEAKER_00
565.36,577.88,dyadic,SPEAKER_00
579.72,590.02,dyadic,SPEAKER_01
590.09,635.23,single,SPEAKER_01
635.30,639.04,dyadic,SPEAKER_01
639.04,639.17,dyadic,SPEAKER_00
639.86,648.94,dyadic,SPEAKER_00
651.00,661.26,dyadic,SPEAKER_01
661.33,665.83,single,SPEAKER_01
666.46,688.95,single,SPEAKER_01
688.60,688.63,single,SPEAKER_00
689.88,690.79,single,SPEAKER_00
690.86,714.62,dyadic,SPEAKER_00
716.21,746.21,dyadic,SPEAKER_01
746.99,758.04,dyadic,SPEAKER_00
759.81,760.44,dyadic,SPEAKER_00
