start,end,text
0.0,5.04, How much convincing?
5.04,8.0," You know, interestingly, you know, we showed him the data."
8.0,11.0, He looked at the data and he got it right away.
11.0,13.0, It was a pretty clear picture.
13.0,15.0," The doctor, Debbie Burke, and I went in together"
15.0,18.0," in the Oval Office and leaned over the desk and said,"
18.0,19.0, here are the data.
19.0,20.0, Take a look.
20.0,21.0, He looked at them.
21.0,22.0, He understood them.
22.0,25.0," And he just shook his head and said, I guess we got to do it."
25.0,28.0, How important was it for you to make this case when you made it?
28.0,31.0," Because we've been, I guess, seven days into,"
31.0,34.0," we can't make the cure worse than the disease,"
34.0,37.0, an aspirational goal to open by Easter.
37.0,40.0, So how important was it for you to go in and make that case?
40.0,42.0, I guess it was just yesterday.
42.0,47.0," Well, it was very important because from a public health standpoint,"
47.0,52.0, we felt strongly that it would have been the wrong decision to pull back.
