start_time,end_time,category,speaker,transcript
0.0,16.95,single,SPEAKER_00,
17.02,42.81,dyadic,SPEAKER_00," The doctor was one of those doctors. Dr. Anthony Fauci, he is the director of the National Institute of Allergy and Infectious Diseases. Dr. Fauci, thank you for getting up early for us. Thank you for all of your doing. Let me just ask you right away why have the guidelines been extended to the end of April? Why was that decision made? Well, Joe, when you look at the kinetics of the outbreak, the patterns that are going on now, even as "
42.88,82.85,single,SPEAKER_01," we speak, they were not going to reach a peak and turn around the way we wanted to within the timeframe that was originally estimated. So I thought it was prudent and I think the right decision to extend them another 30 days, because what you really want to do is you want to start seeing some flattening out and turning around the curb and it coming down. It wasn't doing that. If you look at New York, it was doing this. If you look at New Orleans, it was doing this. Detroit is certainly going to start doing that.  it would not have been a good idea to pull back at a time when you really need to be pressing your foot on the panel as opposed to on the brakes. You keep doing that. "
82.92,107.21,dyadic,SPEAKER_01," and talking about the peak. Can you explain to the American people what exactly that peak looks like in how it will tax the system? Well, there are a number of factors that are going on at the same time. One is the number of new cases per day. The other is the number of deaths that you have. So if you have like 100 cases today, 200 cases tomorrow.  "
107.27,149.58,single,SPEAKER_01,"  400 cases the next day, 600 cases the next day, you are clearly going in the wrong direction. You don't want to interfere except to try and suppress that. If you reach the point where the number of new cases start to equilibrate so that yesterday you have the 150. Today you have 150. Tomorrow you have 125. This starting to level off, which is the kind of the beginning of the turning around of the curve of it coming down.  deaths tend to linger a little bit more after the hospitalizations. But when you see the new hospitalizations start to do this, you know you're going in the right direction and we were doing that. And we felt that if we prematurely.  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  . . . . . . . . . . . . . . . . . . . .  Thank you. "
149.65,205.97,dyadic,SPEAKER_01," . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  . . . . . . . . . . . . . . . . . . . .  Thank you.  In the United States could be between 100,000 and 200,000.  So why do you think that was so convincing?  Well, it was quite convincing.  The president, as he said multiple times  at the press conference yesterday, his first goal  is to prevent suffering and death.  And we made it very clear to him that if we pulled back  on what we were doing and didn't extend them,  there would be more...  avoidable suffering and avoidable death.  So it was a pretty clear decision on this part.  How much convincing did it take? "
206.04,212.65,single,SPEAKER_01," And we made it very clear to him that if we pulled back  on what we were doing and didn't extend them,  there would be more...  avoidable suffering and avoidable death.  So it was a pretty clear decision on this part.  How much convincing did it take?  How much convincing?  Interestingly, we showed him the data. "
212.71,265.87,dyadic,SPEAKER_01," there would be more...  avoidable suffering and avoidable death.  So it was a pretty clear decision on this part.  How much convincing did it take?  How much convincing?  Interestingly, we showed him the data.  He looked at the data and he got it right away.  It was a pretty clear picture.  The doctor, Debbie Burke, and I went in together  in the Oval Office and leaned over the desk and said,  here are the data.  Take a look.  He looked at them.  He understood them.  And he just shook us head and said, I guess we got to do it.  How important was it for you to make this case when you made it?  Because we've been, I guess, seven days into,  we can't make the cure worse than the disease,  an aspirational goal to open by Easter.  So how important was it for you to go in and make that case?  I guess it was just yesterday.  Well, it was very important because from a public health  standpoint, we felt strongly that it  would have been the wrong decision to pull back.  Ah.  I mean, we are scientists, physicians, public health officials.  We're not economists.  We're sensitive to the idea that the economy could suffer.  But it was patently obvious, looking at the data, "
265.93,294.89,single,SPEAKER_01," I guess it was just yesterday.  Well, it was very important because from a public health  standpoint, we felt strongly that it  would have been the wrong decision to pull back.  Ah.  I mean, we are scientists, physicians, public health officials.  We're not economists.  We're sensitive to the idea that the economy could suffer.  But it was patently obvious, looking at the data,  that at the end of the day, if we tried to push back prematurely,  not only would we lose lives, but it probably  would even hurt the economy.  So you would lose on double accounts.  So to us, there was no question what the right choice was.  You've been in a-  position where you've had to talk about modeling to lay people probably more than you would ever like to.  And I know that you make the case that models are only based on your best assumptions, "
294.96,327.76,dyadic,SPEAKER_00," not only would we lose lives, but it probably  would even hurt the economy.  So you would lose on double accounts.  So to us, there was no question what the right choice was.  You've been in a-  position where you've had to talk about modeling to lay people probably more than you would ever like to.  And I know that you make the case that models are only based on your best assumptions,  but just so people understand exactly what you're saying here with this 100,000 to 200,000 death estimate.  Is that even with the measures we have in place now?   Yeah, that was a varying degrees of implementation and success of the methods.  I believe looking at the data.  That's a lot of dynamics now that if we really do pull a full press on the mitigation,  and importantly, if we get the areas that are spiking now, New York, New Orleans, "
327.83,379.15,single,SPEAKER_01," Is that even with the measures we have in place now?   Yeah, that was a varying degrees of implementation and success of the methods.  I believe looking at the data.  That's a lot of dynamics now that if we really do pull a full press on the mitigation,  and importantly, if we get the areas that are spiking now, New York, New Orleans,  maybe Detroit, get them under control.  But as importantly, there are a number of areas in the country that have relatively few cases.  Those are the ones that are vulnerable and dangerous to go along and then spike.  So at the same time that we're concentrating on the ones that we're mitigating, the New York's, the New Orleans,  you've got to look at those other areas and make sure you very vigorously identify, test,  concentrate, get individuals who you take at a society because they're isolated.  They do contact tracing.  If you just look at those and say, they're very little infections in this area or that area or that area,  we don't have to worry about it.  You're making a big mistake because those are timbers that can turn into big fires.  So you got to do both. "
379.21,447.88,dyadic,SPEAKER_01," you've got to look at those other areas and make sure you very vigorously identify, test,  concentrate, get individuals who you take at a society because they're isolated.  They do contact tracing.  If you just look at those and say, they're very little infections in this area or that area or that area,  we don't have to worry about it.  You're making a big mistake because those are timbers that can turn into big fires.  So you got to do both.  You got to mitigate the ones with obvious trouble, but you got to stop the ones that are starting to spark.  And even with that, you think 100,000 deaths is a reasonable projection at this point.  I think, you know, if you look at seasonal flu, we had a bad season in 2017, 18.  We lost over 60,000 people just in a seasonal flu.  This is clearly worse than that.  So I would not be surprised.  I don't want to see it.  I'd like to avoid it.  But I wouldn't be surprised if we saw 100,000 deaths.  You talked about New York, New Orleans, Detroit, any other cities you're specifically concerned about this morning?  Well, you know, there are cities outside the New York area.  For example, the city's in New Jersey.  You know, nowhere in places like that.  In Connecticut, Fairfax County, Greenwich, Los Angeles, perhaps cities in the Midwest, some of the larger cities.  Those are the things we get concerned about because thus far, they seem to be doing well.  But they have the potential to get into trouble.  What evidence, have you... "
447.95,468.9,single,SPEAKER_01," I don't want to see it.  I'd like to avoid it.  But I wouldn't be surprised if we saw 100,000 deaths.  You talked about New York, New Orleans, Detroit, any other cities you're specifically concerned about this morning?  Well, you know, there are cities outside the New York area.  For example, the city's in New Jersey.  You know, nowhere in places like that.  In Connecticut, Fairfax County, Greenwich, Los Angeles, perhaps cities in the Midwest, some of the larger cities.  Those are the things we get concerned about because thus far, they seem to be doing well.  But they have the potential to get into trouble.  What evidence, have you...  you've seen that supplies are disappearing from hospitals at unusual rates.  The president said something that got a lot of people's attention that hospitals at normally  were 23,000 masks were having to order 200,000 to 300,000 and that suggests that they're  walking out the back door.  Whatever it's if you've seen that these masks may be walking out the back door. "
468.97,528.13,dyadic,SPEAKER_00," You know, nowhere in places like that.  In Connecticut, Fairfax County, Greenwich, Los Angeles, perhaps cities in the Midwest, some of the larger cities.  Those are the things we get concerned about because thus far, they seem to be doing well.  But they have the potential to get into trouble.  What evidence, have you...  you've seen that supplies are disappearing from hospitals at unusual rates.  The president said something that got a lot of people's attention that hospitals at normally  were 23,000 masks were having to order 200,000 to 300,000 and that suggests that they're  walking out the back door.  Whatever it's if you've seen that these masks may be walking out the back door.  You know, I have not looked at that carefully so I really can't comment.  I mean it could be that there are many more patients there that need them and they're  actually not walking out the door.  There actually be utilized.  I don't know.  When that discussion came yesterday, I really didn't know what was going on.  So I'll have to check that out later and find out what they were talking about.  In terms of public health, one of the most important things in a public health crisis is public  trust.  How important is the consistent message in a public health crisis?  Well, it is important.  That's the reason why if you go back and take a look at the things I've said over the  the last several weeks, they're really rather consistent.  I mean, almost word for word.  Sometimes as we get more cases.  I know I get a little bit more emphatic about what we should do and that's the reason  why I made a big pitch to do a couple of things over the last couple of days.  Do you feel it every night?  Do you want to do our team?  New York. "
