start_time,end_time,category,speaker,transcript
0.03,16.95,single,SPEAKER_00," It comes after Dr. Zaidah's pandemic task force warned that with the current precautions  even with the current precautions, the death toll in the United States could reach 200,000. "
17.02,35.03,dyadic,SPEAKER_00," That was one of those doctors, Dr. Anthony Fauci, he is the director of the National Institute of  Allergy and Infectious Diseases. Dr. Fauci, thank you for getting up early for us. Thank you for all of your doing.  Let me just ask you right away why have the guidelines been extended to the end of April?  Why was that decision made? "
36.94,42.81,dyadic,SPEAKER_01," Well, Joe, when you look at the kinetics of the outbreak, the patterns that are going on. "
42.88,81.03,single,SPEAKER_01," Now, even as we speak, they were not going to reach a peak and turn around the way we wanted to within the time frame that was originally estimated.  So I thought it was prudent and I think the right decision to extend them another 30 days, because what you really want to do is you want to start seeing some  flattening out and turning around the curb and it coming down. It wasn't doing that. If you look at New York, it was doing this.  If you look at New Orleans, it was doing this. Detroit is certainly going to start doing that. It would not have been a good idea to pull back at a time when you really need to be pressing your foot on the panel as opposed to "
81.03,82.85,single,SPEAKER_00,
82.92,90.53,dyadic,SPEAKER_00, You keep talking about the peak. Can you explain to the American people what exactly that peak looks like in how it will tax the 
92.64,107.21,dyadic,SPEAKER_01," Well, there are a number of factors that are going on at the same time. One is the number of new cases per day. The other is the number of deaths that you have.  So if you have like 100 cases today, 200 cases tomorrow. "
107.27,149.58,single,SPEAKER_01," So if you have like 100 cases today, 200 cases tomorrow.  400 cases the next day, 600 cases the next day, you are clearly going in the wrong direction. You don't want to interfere except to try and suppress that.  If you reach the point where the number of new cases start to equilibrate so that yesterday you have 150, today you have 150, tomorrow you have 125.  The starting to level off, which is the kind of the beginning of the turning around of the curve of it coming down.  Deaths tend to linger a little bit more after the hospitalizations, but when you see the new hospitalizations start to do this, you know you're going in the right direction and we weren't doing that.  And we felt that if we treat.  We would only form an acceleration or rebound of something which would have put you behind where you were before. "
149.65,167.45,dyadic,SPEAKER_01," And we felt that if we treat.  We would only form an acceleration or rebound of something which would have put you behind where you were before.  And that's the reason why we argued strongly with the president that he not withdraw those guidelines after 15 days, but that he extend them.  And he did. "
168.04,185.71,dyadic,SPEAKER_00," And he did.  You argued strongly, you said with the president, our reporting is that among other things you showed him these models that suggest that even with the current guidelines, the death total in the United States could be between 100,000 and 200,000.  And why do you think that would. "
187.92,205.97,dyadic,SPEAKER_01," And why do you think that would.  Well it was quite convincing when the president is first, as he said multiple times at the press conference yesterday, his first goal is to prevent suffering and death.  And we made it very clear to him that if we pulled back on what we were doing and didn't extend them, they.  Avoidable suffering and avoidable death.  So it was pretty clear the city. "
206.04,210.77,single,SPEAKER_01," And we made it very clear to him that if we pulled back on what we were doing and didn't extend them, they.  Avoidable suffering and avoidable death.  So it was pretty clear the city.  How much convincing. "
211.54,212.03,single,SPEAKER_01, Avoidable suffering and avoidable death.  So it was pretty clear the city.  How much convincing. 
212.03,212.65,single,SPEAKER_00, Avoidable suffering and avoidable death.  So it was pretty clear the city.  How much convincing. 
212.71,212.96,dyadic,SPEAKER_00, Avoidable suffering and avoidable death.  So it was pretty clear the city.  How much convincing. 
212.96,213.01,dyadic,SPEAKER_01, Avoidable suffering and avoidable death.  So it was pretty clear the city.  How much convincing. 
215.78,237.02,dyadic,SPEAKER_01," Avoidable suffering and avoidable death.  So it was pretty clear the city.  How much convincing.  You know, interestingly, you know, we showed him the data. He looked at the data and he got it right away.  It was a pretty clear picture that Dr. Debbie Birx and I went in together in the Oval Office and leaned over the desk and said, here are the data.  Take a look.  He looked at them. He understood them.  And he just shook his head and said, I guess we.  You got to do it.  How important was it for you to make this case when you made it? "
237.02,255.0,dyadic,SPEAKER_00," Take a look.  He looked at them. He understood them.  And he just shook his head and said, I guess we.  You got to do it.  How important was it for you to make this case when you made it?  Because we've been I guess seven days into we can't make the cure worse than the disease and aspirational goal to open by Easter.  So how important was it for you to go in and make that case? I guess it was just yesterday.  While it was very important because from a public health standpoint, we felt strongly that it would have been the wrong decision to pull back. "
256.94,265.87,dyadic,SPEAKER_01," So how important was it for you to go in and make that case? I guess it was just yesterday.  While it was very important because from a public health standpoint, we felt strongly that it would have been the wrong decision to pull back.  I mean, we are scientists, physicians, public health officials. We're not economists. We're sensitive to the idea that the economy could suffer. "
265.93,292.09,single,SPEAKER_01," While it was very important because from a public health standpoint, we felt strongly that it would have been the wrong decision to pull back.  I mean, we are scientists, physicians, public health officials. We're not economists. We're sensitive to the idea that the economy could suffer.  But it was patently obvious looking at the data that at the end of the day, if we try to push back prematurely, not only would we lose lives, but it probably would even hurt the economy.  So you would lose on double accounts. So to us, there was no question.  You've been in a position where you've had to talk about modeling to lay people probably more than you would ever like to. "
290.55,290.96,single,SPEAKER_00," So you would lose on double accounts. So to us, there was no question.  You've been in a position where you've had to talk about modeling to lay people probably more than you would ever like to. "
292.34,293.77,single,SPEAKER_01," So you would lose on double accounts. So to us, there was no question.  You've been in a position where you've had to talk about modeling to lay people probably more than you would ever like to. "
293.77,294.89,single,SPEAKER_00," So you would lose on double accounts. So to us, there was no question.  You've been in a position where you've had to talk about modeling to lay people probably more than you would ever like to. "
294.96,311.32,dyadic,SPEAKER_00," So you would lose on double accounts. So to us, there was no question.  You've been in a position where you've had to talk about modeling to lay people probably more than you would ever like to.  And I know that you make the case that models are only based on your best assumptions, but just so people understand exactly what you're saying here with this 100,000 to 200,000 death.  Is that even with the measures we have?  Yeah, that was a varying degrees of implementation and success of the methods. "
312.37,315.9,dyadic,SPEAKER_00," And I know that you make the case that models are only based on your best assumptions, but just so people understand exactly what you're saying here with this 100,000 to 200,000 death.  Is that even with the measures we have?  Yeah, that was a varying degrees of implementation and success of the methods.  I believe. "
313.84,314.26,dyadic,SPEAKER_01," And I know that you make the case that models are only based on your best assumptions, but just so people understand exactly what you're saying here with this 100,000 to 200,000 death.  Is that even with the measures we have?  Yeah, that was a varying degrees of implementation and success of the methods.  I believe. "
317.58,327.76,dyadic,SPEAKER_01," Is that even with the measures we have?  Yeah, that was a varying degrees of implementation and success of the methods.  I believe. "
327.83,360.8,single,SPEAKER_01," Is that even with the measures we have?  Yeah, that was a varying degrees of implementation and success of the methods.  I believe.  Looking at the dynamics now that if we really do pull a full press on the mitigation, and importantly, if we get the areas that are spiking now, New York, New Orleans, maybe Detroit, get them under control.  As importantly, there are a number of areas in the country that have relatively few cases.  Those are the ones that are vulnerable and dangerous to go along and then spike.  So at the same time that we're constantly.  concentrating on the ones that were mitigating the New York's, the New Orleans. "
339.18,339.44,single,SPEAKER_00," I believe.  Looking at the dynamics now that if we really do pull a full press on the mitigation, and importantly, if we get the areas that are spiking now, New York, New Orleans, maybe Detroit, get them under control.  As importantly, there are a number of areas in the country that have relatively few cases. "
360.97,379.15,single,SPEAKER_01," As importantly, there are a number of areas in the country that have relatively few cases.  Those are the ones that are vulnerable and dangerous to go along and then spike.  So at the same time that we're constantly.  concentrating on the ones that were mitigating the New York's, the New Orleans.  You've got to look at those other areas and make sure you very vigorously identify, test, concentrate, get individuals who you take at a society because they're isolated.  And do contact tracing.  If you just look at those and say, there are very little infections in this area or that area or that area.  We don't have to worry about it.  You're making a big mistake because those are timbers that can turn into big fires.  So you got to do both. "
379.21,402.13,dyadic,SPEAKER_01," You've got to look at those other areas and make sure you very vigorously identify, test, concentrate, get individuals who you take at a society because they're isolated.  And do contact tracing.  If you just look at those and say, there are very little infections in this area or that area or that area.  We don't have to worry about it.  You're making a big mistake because those are timbers that can turn into big fires.  So you got to do both.  You got to mitigate the ones that it's obvious trouble, but you got to stop the ones that are starting to spark.  And even with that, you think 100,000 deaths is a reasonable projection.  We had a bad season in 2017-18. "
403.17,407.71,dyadic,SPEAKER_00," We don't have to worry about it.  You're making a big mistake because those are timbers that can turn into big fires.  So you got to do both.  You got to mitigate the ones that it's obvious trouble, but you got to stop the ones that are starting to spark.  And even with that, you think 100,000 deaths is a reasonable projection.  We had a bad season in 2017-18.  We lost over 60,000 people just in a seasonal...  This is clearly worse than that.  So I would not be surprised. I don't want to see it. "
409.42,410.26,dyadic,SPEAKER_01," You're making a big mistake because those are timbers that can turn into big fires.  So you got to do both.  You got to mitigate the ones that it's obvious trouble, but you got to stop the ones that are starting to spark.  And even with that, you think 100,000 deaths is a reasonable projection.  We had a bad season in 2017-18.  We lost over 60,000 people just in a seasonal...  This is clearly worse than that.  So I would not be surprised. I don't want to see it.  I'd like to... "
