start,end,speaker
2.0222187500000004,2.9672187500000002,SPEAKER_0
4.384718750000001,6.3590937499999995,SPEAKER_0
7.67534375,9.09284375,SPEAKER_0
10.08846875,15.69096875,SPEAKER_0
16.53471875,22.12034375,SPEAKER_0
25.20846875,28.87034375,SPEAKER_0
32.24534375,33.00471875,SPEAKER_0
60.08909375,66.29909375,SPEAKER_1
68.03721875000001,69.33659375,SPEAKER_0
71.44596875,82.98846875000001,SPEAKER_0
83.86596875000001,88.65846875000001,SPEAKER_0
95.07096875,95.79659375,SPEAKER_1
97.68659375,104.95971875000001,SPEAKER_0
107.72721875,110.42721875000001,SPEAKER_1
111.81096875,120.46784375000001,SPEAKER_1
120.78846875,121.49721875,SPEAKER_0
122.42534375000001,127.48784375000001,SPEAKER_0
129.19221875,137.54534375,SPEAKER_1
141.62909375,142.94534375,SPEAKER_0
144.32909375,147.24846875,SPEAKER_0
154.20096875000002,154.89284375,SPEAKER_0
155.61846875,162.36846875,SPEAKER_0
165.74346875,169.33784375000002,SPEAKER_0
171.51471875000001,175.80096875,SPEAKER_0
177.43784375,188.28846875000002,SPEAKER_0
189.92534375000002,201.36659375000002,SPEAKER_0
202.83471875,203.77971875,SPEAKER_0
206.05784375000002,221.09346875000003,SPEAKER_0
222.59534375,224.60346875000002,SPEAKER_0
225.80159375000002,227.16846875000002,SPEAKER_0
228.19784375,233.78346875000003,SPEAKER_0
234.66096875000002,240.31409375,SPEAKER_0
243.33471875,247.01346875000002,SPEAKER_0
250.35471875000002,251.16471875000002,SPEAKER_0
293.01471875000004,299.19096875,SPEAKER_0
303.98346875000004,307.02096875,SPEAKER_1
308.84346875,310.91909375,SPEAKER_1
314.51346875,318.39471875000004,SPEAKER_1
318.83346875,321.63471875000005,SPEAKER_1
323.55846875000003,329.24534375,SPEAKER_1
331.20284375,332.31659375000004,SPEAKER_1
335.28659375,338.50971875000005,SPEAKER_1
340.72034375000004,346.05284375,SPEAKER_1
347.06534375,351.87471875,SPEAKER_1
352.75221875,354.67596875000004,SPEAKER_1
