start_time,end_time,speaker
0.031,9.965,SPEAKER_01
10.026,11.167,SPEAKER_02
23.826,28.232,SPEAKER_01
33.275,80.82,SPEAKER_02
80.84,224.404,SPEAKER_01
224.502,233.557,SPEAKER_02
233.637,233.978,SPEAKER_01
234.158,234.919,SPEAKER_02
235.28,235.36,SPEAKER_01
235.42,240.669,SPEAKER_02
241.09,242.091,SPEAKER_01
242.111,254.287,SPEAKER_02
254.307,254.808,SPEAKER_01
254.828,254.968,SPEAKER_02
255.328,267.604,SPEAKER_01
270.638,356.763,SPEAKER_02
356.783,357.484,SPEAKER_01
357.504,360.589,SPEAKER_02
360.969,361.11,SPEAKER_01
361.31,383.221,SPEAKER_02
383.581,402.947,SPEAKER_01
402.967,411.926,SPEAKER_02
411.946,414.09,SPEAKER_01
414.11,414.551,SPEAKER_02
414.571,415.573,SPEAKER_01
415.633,426.899,SPEAKER_02
426.919,427.26,SPEAKER_00
427.501,448.001,SPEAKER_02
448.101,454.731,SPEAKER_01
454.751,457.895,SPEAKER_02
457.995,458.797,SPEAKER_01
458.857,460.359,SPEAKER_02
460.479,476.162,SPEAKER_01
476.242,490.656,SPEAKER_02
490.676,491.678,SPEAKER_00
491.698,523.817,SPEAKER_02
523.917,525.58,SPEAKER_00
525.681,546.288,SPEAKER_02
546.388,547.389,SPEAKER_01
547.449,548.15,SPEAKER_02
548.29,549.712,SPEAKER_01
550.033,556.647,SPEAKER_02
556.767,599.575,SPEAKER_01
599.916,599.996,SPEAKER_00
600.016,608.072,SPEAKER_01
608.132,614.78,SPEAKER_02
614.84,614.98,SPEAKER_01
615.04,619.966,SPEAKER_02
620.046,627.114,SPEAKER_01
627.535,627.615,
627.73,629.612,SPEAKER_01
630.393,642.088,SPEAKER_02
642.108,655.425,SPEAKER_01
659.118,772.582,SPEAKER_02
772.983,773.083,SPEAKER_00
773.103,808.404,SPEAKER_02
810.726,886.867,SPEAKER_01
887.127,917.275,SPEAKER_02
917.626,918.006,SPEAKER_01
918.046,920.248,SPEAKER_02
920.328,920.709,SPEAKER_01
920.809,922.691,SPEAKER_02
922.711,922.971,SPEAKER_01
922.991,925.013,SPEAKER_02
925.033,948.121,SPEAKER_01
948.141,948.662,SPEAKER_02
948.742,949.382,SPEAKER_01
951.565,967.222,SPEAKER_02
968.463,968.643,SPEAKER_01
968.784,970.045,SPEAKER_02
970.205,970.305,SPEAKER_01
970.345,998.456,SPEAKER_02
998.817,998.917,SPEAKER_01
998.937,1017.114,SPEAKER_02
1017.414,1021.658,SPEAKER_01
1021.678,1035.433,SPEAKER_00
