start_time,end_time,speaker
1.33,6.437,SPEAKER_03
7.439,17.132,SPEAKER_00
20.777,24.663,SPEAKER_01
31.072,31.152,
31.823,59.502,SPEAKER_03
60.385,60.465,
60.505,60.725,
60.866,81.839,SPEAKER_03
82.459,82.58,SPEAKER_02
82.98,108.52,SPEAKER_03
109.763,113.895,SPEAKER_02
113.915,118.828,SPEAKER_03
119.109,119.61,SPEAKER_02
121.649,126.376,SPEAKER_03
126.476,127.157,SPEAKER_02
127.738,143.742,SPEAKER_03
145.084,148.99,SPEAKER_01
150.134,163.954,SPEAKER_03
163.974,169.382,SPEAKER_00
169.402,173.408,SPEAKER_03
173.468,179.837,SPEAKER_02
181.893,219.879,SPEAKER_01
219.899,220.46,SPEAKER_00
220.52,248.725,SPEAKER_01
248.745,249.066,SPEAKER_02
249.426,337.114,SPEAKER_01
339.757,342.36,SPEAKER_03
353.326,357.11,SPEAKER_01
371.487,377.334,SPEAKER_03
377.414,377.774,SPEAKER_00
377.955,389.073,SPEAKER_03
397.825,397.885,
398.025,407.818,SPEAKER_03
411.072,413.574,SPEAKER_01
413.594,535.352,SPEAKER_03
535.432,535.612,SPEAKER_00
535.713,536.593,SPEAKER_03
537.474,537.614,SPEAKER_00
537.634,540.817,SPEAKER_03
552.688,552.788,
552.808,558.665,SPEAKER_03
558.705,560.028,SPEAKER_00
561.63,563.474,SPEAKER_03
563.494,564.636,SPEAKER_00
564.736,565.157,SPEAKER_03
566.239,567.14,SPEAKER_01
568.422,569.264,SPEAKER_03
571.768,627.796,SPEAKER_01
628.317,628.437,SPEAKER_00
628.457,642.179,SPEAKER_01
642.239,643.14,SPEAKER_02
643.863,649.65,SPEAKER_01
650.691,654.176,SPEAKER_03
654.196,656.819,SPEAKER_01
656.839,656.859,
656.879,658.181,SPEAKER_03
658.201,661.705,SPEAKER_01
663.627,670.594,SPEAKER_03
670.614,670.895,SPEAKER_01
671.255,675.159,SPEAKER_03
675.439,691.676,SPEAKER_01
699.123,779.297,SPEAKER_03
779.858,782.882,SPEAKER_00
782.902,789.531,SPEAKER_03
790.653,790.813,SPEAKER_02
790.895,802.055,SPEAKER_03
804.298,804.899,SPEAKER_01
805.28,805.941,SPEAKER_03
805.961,810.609,SPEAKER_01
810.87,812.152,SPEAKER_03
813.535,821.665,SPEAKER_01
822.626,824.969,SPEAKER_03
824.989,832.838,SPEAKER_01
836.843,905.648,SPEAKER_03
906.067,914.041,SPEAKER_01
914.061,924.7,SPEAKER_00
