,word,start,end,score,speaker
0,When,1.33,1.55,0.861,SPEAKER_01
1,was,1.59,1.711,0.893,SPEAKER_01
2,the,1.751,1.851,0.779,SPEAKER_01
3,last,1.931,2.191,0.762,SPEAKER_01
4,time,2.271,2.452,0.734,SPEAKER_01
5,you,2.512,2.632,0.937,SPEAKER_01
6,considered,2.692,3.193,0.786,SPEAKER_01
7,ending,3.233,3.633,0.783,SPEAKER_01
8,this,3.693,3.834,0.861,SPEAKER_01
9,relationship?,3.894,4.615,0.866,SPEAKER_01
10,And,5.396,5.496,0.901,SPEAKER_01
11,why,5.556,5.716,0.98,SPEAKER_01
12,didn't,5.756,6.057,0.686,SPEAKER_01
13,you?,6.097,6.437,0.912,SPEAKER_01
14,You're,7.439,7.559,0.152,SPEAKER_01
15,not,7.579,7.679,0.788,SPEAKER_01
16,going,7.699,7.799,0.354,SPEAKER_01
17,to,7.819,7.879,0.47,SPEAKER_01
18,like,7.919,8.1,0.74,SPEAKER_01
19,this,8.12,8.3,0.337,SPEAKER_01
20,answer.,8.36,17.132,0.693,SPEAKER_01
21,Describe,20.777,21.178,0.865,SPEAKER_01
22,the,21.218,21.298,0.786,SPEAKER_01
23,moment,21.358,21.639,0.756,SPEAKER_01
24,you,21.699,21.899,0.459,SPEAKER_01
25,first,21.999,22.259,0.885,SPEAKER_01
26,realised,22.3,22.92,0.769,SPEAKER_01
27,I,22.94,22.96,0.963,SPEAKER_01
28,was,23.181,23.301,0.652,SPEAKER_01
29,truly,23.321,23.862,0.872,SPEAKER_01
30,in,24.002,24.062,0.95,SPEAKER_01
31,love,24.142,24.282,0.904,SPEAKER_01
32,with,24.322,24.463,0.942,SPEAKER_01
33,you.,24.503,24.663,0.62,SPEAKER_01
34,Hmm.,31.072,31.152,0.25,
35,I,31.823,32.003,0.76,SPEAKER_01
36,think,32.023,32.404,0.92,SPEAKER_01
37,there's,37.249,37.43,0.734,SPEAKER_01
38,two,37.47,37.71,0.736,SPEAKER_01
39,things,37.75,38.03,0.8,SPEAKER_01
40,that,38.07,38.19,0.842,SPEAKER_01
41,come,38.23,38.371,0.844,SPEAKER_01
42,to,38.451,38.531,0.988,SPEAKER_01
43,mind.,38.591,38.971,0.893,SPEAKER_01
44,The,39.011,39.592,0.574,SPEAKER_01
45,first,39.652,40.053,0.858,SPEAKER_01
46,one,40.313,40.433,0.863,SPEAKER_01
47,is,40.473,40.513,0.5,SPEAKER_01
48,when,41.254,41.454,0.984,SPEAKER_01
49,I,41.474,41.494,0.999,SPEAKER_01
50,was,41.755,41.875,0.949,SPEAKER_01
51,sitting,41.915,42.155,0.644,SPEAKER_01
52,on,42.195,42.255,0.917,SPEAKER_01
53,your,42.295,42.415,0.996,SPEAKER_01
54,bed,42.455,42.716,0.853,SPEAKER_01
55,at,42.736,42.776,0.5,SPEAKER_01
56,your,43.557,43.737,0.859,SPEAKER_01
57,sister's,43.777,44.137,0.795,SPEAKER_01
58,"house,",44.197,44.598,0.909,SPEAKER_01
59,and,46.14,46.34,0.71,SPEAKER_01
60,it,46.36,46.4,0.5,SPEAKER_01
61,was,47.481,47.581,0.551,SPEAKER_01
62,really,47.621,47.962,0.762,SPEAKER_01
63,late,48.022,48.342,0.522,SPEAKER_01
64,at,48.362,48.402,0.001,SPEAKER_01
65,night.,48.422,48.562,0.531,SPEAKER_01
66,I,48.582,48.602,0.986,SPEAKER_01
67,don't,48.643,48.763,0.826,SPEAKER_01
68,know,48.783,48.883,0.931,SPEAKER_01
69,what,48.903,49.023,0.904,SPEAKER_01
70,time,49.143,49.243,0.622,SPEAKER_01
71,it,49.403,49.544,0.708,SPEAKER_01
72,"was,",49.724,49.824,0.342,SPEAKER_01
73,maybe,49.844,49.944,0.178,SPEAKER_01
74,like,49.984,50.104,0.49,SPEAKER_01
75,1,50.124,50.144,0.873,SPEAKER_01
76,a.m.,50.264,50.745,0.739,SPEAKER_01
77,or,50.805,50.885,0.473,SPEAKER_01
78,something.,50.925,51.266,0.501,SPEAKER_01
79,I,51.446,51.506,0.995,SPEAKER_01
80,was,51.546,51.646,0.945,SPEAKER_01
81,hungry.,51.686,52.167,0.852,SPEAKER_01
82,You'd,52.387,52.547,0.841,SPEAKER_01
83,gone,52.587,52.727,0.866,SPEAKER_01
84,"downstairs,",52.767,53.228,0.925,SPEAKER_01
85,you'd,53.268,53.368,0.531,SPEAKER_01
86,gone,53.388,53.528,0.548,SPEAKER_01
87,to,53.548,53.588,0.692,SPEAKER_01
88,get,53.608,53.708,0.921,SPEAKER_01
89,some,53.748,53.869,0.896,SPEAKER_01
90,food.,53.929,54.289,0.873,SPEAKER_01
91,You,55.831,55.931,0.946,SPEAKER_01
92,came,55.991,56.131,0.935,SPEAKER_01
93,back,56.191,56.331,0.993,SPEAKER_01
94,up,56.412,56.492,0.882,SPEAKER_01
95,with,56.532,56.652,0.912,SPEAKER_01
96,some,56.692,56.832,0.774,SPEAKER_01
97,food.,56.912,57.713,0.838,SPEAKER_01
98,I,58.098,58.218,0.786,SPEAKER_01
99,just,58.238,58.359,0.544,SPEAKER_01
100,remember,58.379,58.66,0.448,SPEAKER_01
101,it,58.68,58.72,0.012,SPEAKER_01
102,was,58.74,58.82,0.472,SPEAKER_01
103,a,58.86,58.88,0.853,SPEAKER_01
104,chicken,58.92,59.201,0.908,SPEAKER_01
105,wing.,59.241,59.502,0.852,SPEAKER_01
106,I,60.385,60.465,0.777,
107,don't,60.505,60.725,0.699,
108,know,60.866,61.427,0.322,SPEAKER_01
109,what,61.448,61.528,0.192,SPEAKER_01
110,kind.,61.708,61.929,0.837,SPEAKER_01
111,It,62.33,62.39,0.913,SPEAKER_01
112,was,62.41,62.49,0.941,SPEAKER_01
113,a,62.531,62.551,0.923,SPEAKER_01
114,good,62.591,62.731,0.914,SPEAKER_01
115,chicken,62.771,63.012,0.877,SPEAKER_01
116,wing.,63.032,63.152,0.416,SPEAKER_01
117,I,63.213,63.273,0.336,SPEAKER_01
118,was,63.293,63.453,0.678,SPEAKER_01
119,eating,63.493,63.814,0.548,SPEAKER_01
120,this,63.854,63.955,0.61,SPEAKER_01
121,chicken,63.995,64.215,0.933,SPEAKER_01
122,"wing,",64.256,64.476,0.699,SPEAKER_01
123,really,64.757,65.098,0.815,SPEAKER_01
124,devouring,65.138,65.94,0.825,SPEAKER_01
125,this,66.0,66.121,0.582,SPEAKER_01
126,chicken,66.161,66.462,0.394,SPEAKER_01
127,wing.,66.482,66.682,0.88,SPEAKER_01
128,And,66.702,69.029,0.85,SPEAKER_01
129,you,69.049,69.19,0.973,SPEAKER_01
130,said,69.23,69.49,0.881,SPEAKER_01
131,to,69.51,69.571,0.688,SPEAKER_01
132,"me,",69.651,69.811,0.888,SPEAKER_01
133,you,70.012,70.112,0.905,SPEAKER_01
134,were,70.132,70.253,0.665,SPEAKER_01
135,"like,",70.273,70.774,0.867,SPEAKER_01
136,I,71.648,71.828,0.638,SPEAKER_01
137,love,71.848,72.048,0.947,SPEAKER_01
138,"you,",72.088,72.249,0.944,SPEAKER_01
139,and,72.269,72.329,0.829,SPEAKER_01
140,this,72.349,72.449,0.814,SPEAKER_01
141,is,72.509,72.549,0.866,SPEAKER_01
142,the,72.589,72.649,0.881,SPEAKER_01
143,first,72.689,72.849,0.857,SPEAKER_01
144,time,72.889,73.009,0.181,SPEAKER_01
145,you,73.029,73.09,0.308,SPEAKER_01
146,told,73.11,73.29,0.406,SPEAKER_01
147,me,73.31,73.37,0.616,SPEAKER_01
148,you,73.39,73.47,0.584,SPEAKER_01
149,love,73.51,73.69,0.863,SPEAKER_01
150,me.,73.73,73.91,0.909,SPEAKER_01
151,And,74.791,74.851,0.662,SPEAKER_01
152,I,74.952,75.012,0.455,SPEAKER_01
153,was,75.052,75.152,0.771,SPEAKER_01
154,"like,",75.272,75.412,0.67,SPEAKER_01
155,what,76.914,77.214,0.445,SPEAKER_01
156,a,77.314,77.454,0.745,SPEAKER_01
157,moment.,77.594,78.155,0.919,SPEAKER_01
158,And,79.076,79.136,0.193,SPEAKER_01
159,"me,",79.176,79.436,0.95,SPEAKER_01
160,"like,",79.556,79.797,0.934,SPEAKER_01
161,sauce,79.837,80.678,0.438,SPEAKER_01
162,around,80.718,80.858,0.094,SPEAKER_01
163,my,80.878,80.998,0.522,SPEAKER_01
164,mouth.,81.018,81.599,0.513,SPEAKER_01
165,And,81.679,81.839,0.446,SPEAKER_01
166,I,82.459,82.58,0.553,SPEAKER_00
167,was,82.98,83.04,0.494,SPEAKER_01
168,"like,",83.08,83.2,0.491,SPEAKER_01
169,what?,83.38,83.861,0.599,SPEAKER_01
170,"Like,",83.881,84.181,0.846,SPEAKER_01
171,really,87.265,87.505,0.666,SPEAKER_01
172,just,87.545,87.785,0.766,SPEAKER_01
173,this,87.925,88.125,0.864,SPEAKER_01
174,moment.,88.286,88.646,0.875,SPEAKER_01
175,But,88.666,88.786,0.925,SPEAKER_01
176,do,89.087,89.287,0.988,SPEAKER_01
177,you,89.447,89.507,0.0,SPEAKER_01
178,know,89.527,89.607,0.0,SPEAKER_01
179,what?,89.627,89.727,0.0,SPEAKER_01
180,I,89.747,89.827,0.979,SPEAKER_01
181,love,89.887,90.108,0.879,SPEAKER_01
182,the,90.308,90.408,0.711,SPEAKER_01
183,way,90.448,90.688,0.798,SPEAKER_01
184,you,90.708,90.768,0.286,SPEAKER_01
185,just,90.808,91.009,0.893,SPEAKER_01
186,said,91.649,91.829,0.777,SPEAKER_01
187,it.,91.889,91.97,0.912,SPEAKER_01
188,"Like,",91.99,92.23,0.925,SPEAKER_01
189,I,92.81,92.871,0.922,SPEAKER_01
190,think,92.911,93.091,0.964,SPEAKER_01
191,that's,93.531,93.731,0.902,SPEAKER_01
192,definitely,93.852,94.793,0.306,SPEAKER_01
193,something,94.833,95.093,0.876,SPEAKER_01
194,that,95.133,95.213,0.48,SPEAKER_01
195,comes,95.834,96.054,0.78,SPEAKER_01
196,to,96.094,96.174,0.738,SPEAKER_01
197,mind,96.214,96.374,0.567,SPEAKER_01
198,when,96.394,96.494,0.844,SPEAKER_01
199,you,96.534,96.675,0.975,SPEAKER_01
200,ask,96.715,96.855,0.84,SPEAKER_01
201,me,96.895,96.955,0.946,SPEAKER_01
202,that,96.995,97.075,0.511,SPEAKER_01
203,question.,97.095,97.335,0.869,SPEAKER_01
204,I,97.375,97.415,0.163,SPEAKER_01
205,think,97.435,97.576,0.369,SPEAKER_01
206,the,97.836,97.936,0.984,SPEAKER_01
207,second,97.976,98.296,0.957,SPEAKER_01
208,"thing,",98.336,98.517,0.878,SPEAKER_01
209,"though,",98.557,98.817,0.441,SPEAKER_01
210,is,98.897,98.977,0.846,SPEAKER_01
211,when,99.037,100.879,0.903,SPEAKER_01
212,is,103.306,103.446,0.806,SPEAKER_01
213,when,103.527,103.687,0.988,SPEAKER_01
214,I,103.767,103.868,0.967,SPEAKER_01
215,found,103.928,104.188,0.851,SPEAKER_01
216,out,104.429,104.569,0.966,SPEAKER_01
217,that,104.61,106.033,0.655,SPEAKER_01
218,you,106.073,106.174,0.957,SPEAKER_01
219,had,106.214,106.314,0.922,SPEAKER_01
220,seen,106.374,106.575,0.779,SPEAKER_01
221,everything,106.595,107.176,0.868,SPEAKER_01
222,at,107.217,107.257,0.5,SPEAKER_01
223,Budapest.,107.858,108.52,0.713,SPEAKER_01
224,And,109.763,113.895,0.854,SPEAKER_01
225,there,113.915,114.035,0.781,SPEAKER_01
226,were,114.075,114.155,0.645,SPEAKER_01
227,some,114.195,114.316,0.862,SPEAKER_01
228,things,114.336,114.536,0.281,SPEAKER_01
229,you,114.556,114.617,0.261,SPEAKER_01
230,weren't,114.657,114.917,0.46,SPEAKER_01
231,supposed,114.978,115.78,0.445,SPEAKER_01
232,to,115.8,115.84,0.49,SPEAKER_01
233,see,116.301,116.361,0.004,SPEAKER_01
234,because,116.381,116.522,0.068,SPEAKER_01
235,they,116.542,116.642,0.896,SPEAKER_01
236,were,116.662,116.802,0.686,SPEAKER_01
237,highly,116.863,117.244,0.895,SPEAKER_01
238,embarrassing,117.324,118.066,0.947,SPEAKER_01
239,for,118.106,118.166,0.335,SPEAKER_01
240,me.,118.427,118.828,0.976,SPEAKER_01
241,"Yeah,",119.109,119.229,0.138,SPEAKER_01
242,they,119.249,119.329,0.122,SPEAKER_01
243,were.,119.349,119.61,0.499,SPEAKER_01
244,And,121.649,121.789,0.672,SPEAKER_01
245,the,121.829,121.909,0.947,SPEAKER_01
246,fact,121.969,122.11,0.741,SPEAKER_01
247,that,122.15,122.25,0.937,SPEAKER_01
248,you,122.27,122.41,0.747,SPEAKER_01
249,proposed,122.45,123.111,0.901,SPEAKER_01
250,after,123.832,124.013,0.936,SPEAKER_01
251,that,124.053,124.233,0.684,SPEAKER_01
252,"trip,",124.293,124.613,0.68,SPEAKER_01
