word,start,end,score,speaker
In,0.031,0.231,0.873,SPEAKER_01
what,0.291,0.452,0.84,SPEAKER_01
ways,0.532,0.852,0.821,SPEAKER_01
do,0.912,1.032,0.996,SPEAKER_01
you,1.073,1.213,0.822,SPEAKER_01
"feel,",1.353,1.713,0.899,SPEAKER_01
oh,1.733,1.774,0.5,SPEAKER_01
I,1.794,1.814,1.0,SPEAKER_01
love,2.855,3.035,0.872,SPEAKER_01
this,3.075,3.196,0.771,SPEAKER_01
"question,",3.256,3.576,0.869,SPEAKER_01
in,3.616,3.696,0.816,SPEAKER_01
what,3.736,3.857,0.853,SPEAKER_01
ways,3.917,4.177,0.825,SPEAKER_01
do,4.197,4.237,0.507,SPEAKER_01
you,4.257,4.417,0.87,SPEAKER_01
feel,4.477,4.678,0.864,SPEAKER_01
you,4.718,4.878,0.829,SPEAKER_01
are,4.958,5.038,0.918,SPEAKER_01
the,5.058,5.158,0.678,SPEAKER_01
continuation,5.219,6.14,0.804,SPEAKER_01
of,6.2,6.24,0.972,SPEAKER_01
me?,6.28,6.621,0.899,SPEAKER_01
Oh,6.641,6.681,0.5,SPEAKER_01
I,6.701,6.721,1.0,SPEAKER_01
love,7.542,7.822,0.789,SPEAKER_01
that.,7.862,8.603,0.755,SPEAKER_01
That's,8.664,9.965,0.838,SPEAKER_01
a,10.026,10.046,0.961,SPEAKER_02
great,10.186,10.506,0.84,SPEAKER_02
question.,10.586,11.167,0.839,SPEAKER_02
When,23.826,23.986,0.949,SPEAKER_01
was,24.026,24.146,0.884,SPEAKER_01
a,24.226,24.266,0.832,SPEAKER_01
moment,24.326,24.687,0.82,SPEAKER_01
you,24.727,24.947,0.554,SPEAKER_01
knew,25.047,25.308,0.795,SPEAKER_01
you,25.328,25.388,0.333,SPEAKER_01
could,26.209,26.349,0.716,SPEAKER_01
trust,26.409,26.71,0.717,SPEAKER_01
me,26.79,26.93,0.707,SPEAKER_01
and,26.97,27.211,0.543,SPEAKER_01
really,27.331,27.611,0.739,SPEAKER_01
open,27.731,27.932,0.85,SPEAKER_01
up?,28.032,28.232,0.941,SPEAKER_01
I,33.275,33.436,0.678,SPEAKER_02
think,33.456,33.636,0.989,SPEAKER_02
definitely,33.656,34.038,0.785,SPEAKER_02
as,34.098,34.198,0.845,SPEAKER_02
an,34.238,34.299,0.598,SPEAKER_02
adult,34.359,34.78,0.821,SPEAKER_02
I,34.8,34.821,0.999,SPEAKER_02
think,35.423,35.583,0.893,SPEAKER_02
that,35.603,35.724,0.781,SPEAKER_02
I,35.764,35.804,0.865,SPEAKER_02
wanted,36.286,36.707,0.86,SPEAKER_02
to,36.748,36.828,0.668,SPEAKER_02
have,36.908,37.209,0.946,SPEAKER_02
the,37.229,37.289,0.333,SPEAKER_02
bond,37.43,37.631,0.606,SPEAKER_02
we,37.671,37.771,0.978,SPEAKER_02
have,37.811,37.932,0.99,SPEAKER_02
now,37.972,38.132,0.928,SPEAKER_02
my,38.193,38.333,0.621,SPEAKER_02
whole,38.393,38.534,0.902,SPEAKER_02
life,38.574,38.835,0.666,SPEAKER_02
but,38.875,39.417,0.969,SPEAKER_02
it,39.437,39.477,0.986,SPEAKER_02
was,39.517,39.618,0.823,SPEAKER_02
so,39.718,39.919,0.856,SPEAKER_02
hard,39.979,40.18,0.808,SPEAKER_02
when,40.2,40.32,0.87,SPEAKER_02
I,40.361,40.421,0.574,SPEAKER_02
was,40.441,40.541,0.654,SPEAKER_02
a,40.601,40.621,0.889,SPEAKER_02
kid,40.662,40.923,0.974,SPEAKER_02
because,40.963,41.224,0.86,SPEAKER_02
I,41.324,41.384,0.982,SPEAKER_02
was,41.424,41.545,0.842,SPEAKER_02
so,41.585,41.725,0.922,SPEAKER_02
lost,41.766,42.127,0.696,SPEAKER_02
and,42.187,42.287,0.798,SPEAKER_02
I,42.348,42.388,0.993,SPEAKER_02
was,42.428,42.508,0.87,SPEAKER_02
so,42.548,42.669,0.87,SPEAKER_02
confused.,42.709,43.572,0.804,SPEAKER_02
And,44.615,45.155,0.805,SPEAKER_02
it,45.175,45.216,0.5,SPEAKER_02
was,45.896,45.996,0.896,SPEAKER_02
hard,46.056,46.256,0.842,SPEAKER_02
to,46.316,46.377,0.986,SPEAKER_02
know,46.437,46.597,0.777,SPEAKER_02
you,46.617,46.737,0.732,SPEAKER_02
were,46.777,46.897,0.861,SPEAKER_02
on,46.937,46.997,0.997,SPEAKER_02
my,47.037,47.157,0.78,SPEAKER_02
side.,47.217,47.437,0.905,SPEAKER_02
That's,47.478,47.618,0.661,SPEAKER_02
something,47.638,47.818,0.279,SPEAKER_02
you,47.838,47.898,0.0,SPEAKER_02
used,47.918,48.038,0.846,SPEAKER_02
to,48.078,48.138,0.932,SPEAKER_02
say,48.218,48.378,0.662,SPEAKER_02
to,48.418,48.458,0.748,SPEAKER_02
me,48.518,48.598,0.74,SPEAKER_02
all,48.759,48.879,0.829,SPEAKER_02
the,48.919,48.999,0.797,SPEAKER_02
time,49.039,49.199,0.873,SPEAKER_02
when,49.219,49.299,0.952,SPEAKER_02
I,49.339,49.379,0.496,SPEAKER_02
was,49.419,49.499,0.828,SPEAKER_02
a,49.519,49.539,0.093,SPEAKER_02
"kid,",49.659,49.739,0.184,SPEAKER_02
I'm,49.76,49.88,0.904,SPEAKER_02
on,49.94,50.0,0.736,SPEAKER_02
your,50.04,50.2,0.902,SPEAKER_02
"side,",50.24,50.54,0.983,SPEAKER_02
I'm,50.68,50.8,0.914,SPEAKER_02
on,50.86,50.941,0.778,SPEAKER_02
your,50.961,51.121,0.665,SPEAKER_02
"side,",51.161,51.501,0.844,SPEAKER_02
but,51.621,51.721,0.927,SPEAKER_02
I,51.801,51.861,0.878,SPEAKER_02
never,51.901,52.082,0.841,SPEAKER_02
heard,52.162,52.422,0.624,SPEAKER_02
you.,52.482,52.662,0.928,SPEAKER_02
You'd,52.702,53.283,0.396,SPEAKER_02
always,53.303,53.443,0.834,SPEAKER_02
remind,53.503,53.863,0.745,SPEAKER_02
me,53.903,54.003,0.883,SPEAKER_02
of,54.063,54.123,0.749,SPEAKER_02
your,54.183,54.304,0.854,SPEAKER_02
love,54.344,54.504,0.901,SPEAKER_02
for,54.544,54.624,0.996,SPEAKER_02
"me,",54.664,54.764,0.935,SPEAKER_02
but,54.784,54.884,0.978,SPEAKER_02
I,54.944,55.004,0.997,SPEAKER_02
never,55.064,55.264,0.755,SPEAKER_02
understood,55.304,55.985,0.692,SPEAKER_02
it.,56.025,56.125,0.765,SPEAKER_02
I,56.225,56.265,0.809,SPEAKER_02
used,56.465,56.586,0.615,SPEAKER_02
to,56.646,56.706,0.978,SPEAKER_02
say,56.766,56.966,0.818,SPEAKER_02
"like,",57.026,57.186,0.837,SPEAKER_02
you,57.226,57.366,0.652,SPEAKER_02
hate,57.406,57.606,0.696,SPEAKER_02
"me,",57.666,57.807,0.95,SPEAKER_02
you,57.947,58.087,0.718,SPEAKER_02
hate,58.127,58.307,0.74,SPEAKER_02
me.,58.347,58.487,0.913,SPEAKER_02
I,58.707,58.767,0.998,SPEAKER_02
saw,58.888,59.128,0.916,SPEAKER_02
so,59.168,59.468,0.855,SPEAKER_02
clearly,59.528,59.828,0.847,SPEAKER_02
as,59.888,59.988,0.847,SPEAKER_02
an,60.029,60.089,0.52,SPEAKER_02
"adult,",60.149,60.549,0.794,SPEAKER_02
what,60.629,60.749,0.894,SPEAKER_02
I,60.789,60.809,0.809,SPEAKER_02
couldn't,60.909,61.17,0.789,SPEAKER_02
see,61.21,61.33,0.872,SPEAKER_02
as,61.37,61.45,0.722,SPEAKER_02
a,61.51,61.53,0.999,SPEAKER_02
"kid,",61.57,61.83,0.985,SPEAKER_02
and,61.89,61.97,0.821,SPEAKER_02
that,62.01,62.17,0.883,SPEAKER_02
is,62.23,62.311,0.888,SPEAKER_02
that,62.371,62.531,0.995,SPEAKER_02
you,62.891,63.051,0.812,SPEAKER_02
love,63.111,63.311,0.86,SPEAKER_02
me,63.351,63.452,0.802,SPEAKER_02
so,63.612,63.832,0.838,SPEAKER_02
deeply,63.872,64.312,0.754,SPEAKER_02
and,64.332,64.773,0.544,SPEAKER_02
wholeheartedly.,64.833,65.573,0.843,SPEAKER_02
My,65.613,66.314,0.865,SPEAKER_02
happiness,66.394,66.915,0.831,SPEAKER_02
was,66.975,67.095,0.659,SPEAKER_02
at,67.215,67.275,0.753,SPEAKER_02
the,67.295,67.395,0.813,SPEAKER_02
top,67.455,67.715,0.936,SPEAKER_02
of,67.755,67.795,0.946,SPEAKER_02
your,67.855,67.996,0.82,SPEAKER_02
priority,68.036,68.516,0.815,SPEAKER_02
list.,68.576,68.916,0.939,SPEAKER_02
Even,69.096,69.257,0.843,SPEAKER_02
if,69.317,69.397,0.74,SPEAKER_02
that,69.437,69.597,0.715,SPEAKER_02
meant,69.617,69.757,0.706,SPEAKER_02
you,69.797,69.897,0.96,SPEAKER_02
not,69.957,70.077,0.973,SPEAKER_02
making,70.137,70.378,0.848,SPEAKER_02
always,70.438,70.618,0.923,SPEAKER_02
the,70.638,70.718,0.831,SPEAKER_02
best,70.758,70.918,0.595,SPEAKER_02
"decisions,",70.958,71.399,0.795,SPEAKER_02
you,71.419,71.519,0.638,SPEAKER_02
were,71.559,71.679,0.824,SPEAKER_02
trying.,71.719,73.12,0.755,SPEAKER_02
And,73.1,73.301,0.822,SPEAKER_02
so,73.341,73.421,0.884,SPEAKER_02
it,73.501,73.561,0.855,SPEAKER_02
allowed,73.581,73.862,0.973,SPEAKER_02
me,73.902,73.982,0.751,SPEAKER_02
to,74.022,74.103,0.738,SPEAKER_02
trust,74.163,74.443,0.845,SPEAKER_02
you,74.484,74.564,0.963,SPEAKER_02
and,74.604,74.664,0.424,SPEAKER_02
just,74.684,74.804,0.725,SPEAKER_02
feel,74.845,74.925,0.238,SPEAKER_02
like,74.945,75.045,0.88,SPEAKER_02
I,75.105,75.145,0.996,SPEAKER_02
could,75.165,75.306,0.973,SPEAKER_02
be,75.346,75.446,0.99,SPEAKER_02
fully,75.707,75.988,0.928,SPEAKER_02
"open,",76.128,76.409,0.925,SPEAKER_02
fully,76.469,76.85,0.859,SPEAKER_02
vulnerable,76.91,77.351,0.853,SPEAKER_02
with,77.391,77.511,0.776,SPEAKER_02
you.,77.572,77.752,0.916,SPEAKER_02
And,77.792,77.852,0.333,SPEAKER_02
it,78.394,78.434,0.932,SPEAKER_02
just,78.454,78.574,0.853,SPEAKER_02
made,78.594,78.715,0.674,SPEAKER_02
me,78.735,78.795,0.846,SPEAKER_02
feel,78.835,78.995,0.891,SPEAKER_02
like,79.056,79.236,0.754,SPEAKER_02
really,79.497,79.998,0.771,SPEAKER_02
safe,80.118,80.399,0.776,SPEAKER_02
with,80.479,80.6,0.937,SPEAKER_02
you.,80.64,80.82,0.936,SPEAKER_02
"Yeah,",80.84,82.565,0.533,SPEAKER_01
and,82.585,82.645,0.543,SPEAKER_01
if,82.685,82.745,0.998,SPEAKER_01
I,82.805,82.865,0.837,SPEAKER_01
could,82.885,83.026,0.612,SPEAKER_01
answer,83.126,83.327,0.908,SPEAKER_01
that,83.367,83.547,0.76,SPEAKER_01
"back,",83.587,84.089,0.629,SPEAKER_01
that,84.129,84.249,0.915,SPEAKER_01
question.,84.309,85.793,0.943,SPEAKER_01
So,86.38,86.58,0.616,SPEAKER_01
when,86.62,86.74,0.85,SPEAKER_01
I,86.8,86.841,0.998,SPEAKER_01
was,86.881,86.981,0.879,SPEAKER_01
your,87.021,87.161,0.935,SPEAKER_01
mother,87.201,87.481,0.825,SPEAKER_01
and,87.601,87.681,0.753,SPEAKER_01
you,87.742,87.882,0.975,SPEAKER_01
"were,",87.942,88.142,0.739,SPEAKER_01
I'm,88.162,88.222,0.333,SPEAKER_01
gonna,88.642,88.803,0.331,SPEAKER_01
"say,",88.843,89.023,0.949,SPEAKER_01
under,89.263,89.483,0.917,SPEAKER_01
"18,",89.543,90.004,0.866,SPEAKER_01
"okay,",90.044,90.725,0.7,SPEAKER_01
I,91.225,91.285,0.957,SPEAKER_01
felt,91.345,91.506,0.985,SPEAKER_01
so,91.566,91.706,0.998,SPEAKER_01
responsible,91.746,92.567,0.75,SPEAKER_01
